Team,Game_ID,Points_Scored,Points_Allowed,Win,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls,Offensive_Efficiency,Efficient Points Score,Raw EOP,Two Points Per Attempt,Three Points Per Attempt,Total Points Per Attempt,Scoring_Possesions,Team Play Percent,Possesions,Field Goals Made_Allowed,Field Goals Attempted_Allowed,Free Throws Made_Allowed,Free Throws Attempted_Allowed,Three Point Made_Allowed,Three Point Attempted_Allowed,Total Points_Allowed,Offensive Rebounds_Allowed,Defensive Rebounds_Allowed,Total Rebounds_Allowed,Assists_Allowed,Turnovers_Allowed,Steals_Allowed,Blocks_Allowed,Fouls_Allowed,Technical Fouls_Allowed,Offensive_Efficiency_Allowed,Efficient Points Score_Allowed,Raw EOP_Allowed,Two Points Per Attempt_Allowed,Three Points Per Attempt_Allowed,Total Points Per Attempt_Allowed,Scoring_Possesions_Allowed,Team Play Percent_Allowed,Possesions_Allowed,Offensive_Efficieny_Difference
Ladysmith,33023443,56,46,1,21,61,6,11,7,32,55,12,19,29,8,11,16,1,17,0.0,0.205882353,9.470588235,8.449411765,0.965517241,0.65625,0.803278689,22.30909091,0.292003808,83.56,15,45,12,27,4,5,46,17,26,43,9,23,6,0,10,0.0,0.35,19.6,17.29,0.55,2.4,0.755555556,17.13333333,0.217428088,67.81,-0.144117647
Ashland,33023443,46,56,0,15,45,12,27,4,5,46,17,26,43,9,23,6,0,10,0.0,0.35,19.6,17.29,0.55,2.4,0.755555556,17.13333333,0.217428088,67.81,21,61,6,11,7,32,55,12,19,29,8,11,16,1,17,0.0,0.205882353,9.470588235,8.449411765,0.965517241,0.65625,0.803278689,22.30909091,0.292003808,83.56,0.144117647
Ladysmith,33023445,56,52,1,21,44,13,15,1,11,56,6,13,19,10,5,12,0,9,0.0,0.433962264,22.56603774,20.44830189,1.212121212,0.272727273,0.977272727,25.50666667,0.463757576,60.18,21,43,6,7,4,15,52,10,15,25,16,18,4,2,11,0.0,0.328358209,18.3880597,17.96776119,1.214285714,0.8,1.069767442,23.05714286,0.361397223,67.5,0.10560405499999997
Cameron,33023445,52,56,0,21,43,6,7,4,15,52,10,15,25,16,18,4,2,11,0.0,0.328358209,18.3880597,17.96776119,1.214285714,0.8,1.069767442,23.05714286,0.361397223,67.5,21,44,13,15,1,11,56,6,13,19,10,5,12,0,9,0.0,0.433962264,22.56603774,20.44830189,1.212121212,0.272727273,0.977272727,25.50666667,0.463757576,60.18,-0.10560405499999997
Ladysmith,33023446,63,33,1,25,51,4,4,11,23,63,6,18,24,17,14,14,2,11,0.0,0.276315789,9.118421053,10.5,1.0,1.434782609,1.196078431,26.6,0.399399399,78.98,13,50,3,8,4,16,33,10,15,25,10,23,10,0,5,0.0,0.178082192,11.21917808,9.88,0.529411765,0.75,0.6,13.45,0.176509186,82.3,0.09823359699999998
Chetek-Weyerhaeuser,33023446,33,63,0,13,50,3,8,4,16,33,10,15,25,10,23,10,0,5,0.0,0.178082192,11.21917808,9.88,0.529411765,0.75,0.6,13.45,0.176509186,82.3,25,51,4,4,11,23,63,6,18,24,17,14,14,2,11,0.0,0.276315789,9.118421053,10.5,1.0,1.434782609,1.196078431,26.6,0.399399399,78.98,-0.09823359699999998
Ladysmith,33023448,63,26,1,25,40,6,11,7,13,63,2,25,27,12,8,7,0,9,0.0,0.310344828,8.068965517,8.962758621,1.333333333,1.615384615,1.425,26.30909091,0.502081888,61.86,12,42,2,6,3,14,27,7,14,20,4,12,5,1,9,9.0,0.117647059,7.411764706,5.990588235,0.642857143,0.642857143,0.642857143,12.26666667,0.21749409,63.31,0.19269776900000002
Hayward,33023448,26,63,0,12,42,2,6,3,14,27,7,14,20,4,12,5,1,9,9.0,0.117647059,7.411764706,5.990588235,0.642857143,0.642857143,0.642857143,12.26666667,0.21749409,63.31,25,40,6,11,7,13,63,2,25,27,12,8,7,0,9,0.0,0.310344828,8.068965517,8.962758621,1.333333333,1.615384615,1.425,26.30909091,0.502081888,61.86,-0.19269776900000002
Ladysmith,33023449,36,58,0,12,47,6,8,5,18,36,8,8,16,4,11,7,4,13,0.0,0.185185185,10.74074074,8.725925926,0.482758621,0.833333333,0.617021277,13.8,0.225490196,68.24,24,48,7,11,6,18,58,10,29,39,17,18,12,3,12,0.0,0.328767123,11.83561644,13.24273973,1.2,1.0,1.125,25.78181818,0.366219008,74.5,-0.143581938
McDonell Central,33023449,58,36,1,24,48,7,11,6,18,58,10,29,39,17,18,12,3,12,0.0,0.328767123,11.83561644,13.24273973,1.2,1.0,1.125,25.78181818,0.366219008,74.5,12,47,6,8,5,18,36,8,8,16,4,11,7,4,13,0.0,0.185185185,10.74074074,8.725925926,0.482758621,0.833333333,0.617021277,13.8,0.225490196,68.24,0.143581938
Ladysmith,33023452,52,49,1,17,55,10,16,10,33,54,11,20,31,11,12,10,4,13,0.0,0.313432836,15.35820896,14.29253731,0.636363636,0.909090909,0.8,19.5,0.265667575,77.23,16,51,11,15,4,11,45,8,25,33,12,16,11,1,0,0.0,0.323943662,16.84507042,15.75661972,0.6,1.090909091,0.705882353,19.22666667,0.263378995,78.84,-0.010510826000000029
Phillips,33023452,49,52,0,16,51,11,15,4,11,45,8,25,33,12,16,11,1,0,0.0,0.323943662,16.84507042,15.75661972,0.6,1.090909091,0.705882353,19.22666667,0.263378995,78.84,17,55,10,16,10,33,54,11,20,31,11,12,10,4,13,0.0,0.313432836,15.35820896,14.29253731,0.636363636,0.909090909,0.8,19.5,0.265667575,77.23,0.010510826000000029
Ladysmith,33023453,52,38,1,20,40,5,9,7,17,52,4,14,18,15,11,8,0,12,0.0,0.322580645,12.25806452,12.99354839,1.130434783,1.235294118,1.175,21.11111111,0.386650387,62.72,12,34,5,11,3,13,38,5,15,20,9,15,3,0,9,0.0,0.264150943,13.73584906,12.24603774,0.857142857,0.692307692,0.794117647,12.90909091,0.241743275,57.25,0.05842970199999997
Prairie Farm,33023453,38,52,0,12,34,5,11,3,13,38,5,15,20,9,15,3,0,9,0.0,0.264150943,13.73584906,12.24603774,0.857142857,0.692307692,0.794117647,12.90909091,0.241743275,57.25,20,40,5,9,7,17,52,4,14,18,15,11,8,0,12,0.0,0.322580645,12.25806452,12.99354839,1.130434783,1.235294118,1.175,21.11111111,0.386650387,62.72,-0.05842970199999997
Ladysmith,33023456,51,54,0,21,46,7,8,2,17,51,5,16,21,4,6,3,3,19,0.0,0.215686275,11.64705882,9.50745098,1.310344828,0.352941176,0.956521739,23.45,0.424818841,65.05,18,50,14,24,4,11,54,11,20,31,11,10,5,0,9,0.0,0.416666667,21.25,19.63333333,0.717948718,1.090909091,0.8,21.26666667,0.305555556,68.23,-0.20098039199999998
St. Croix Falls,33023456,54,51,1,18,50,14,24,4,11,54,11,20,31,11,10,5,0,9,0.0,0.416666667,21.25,19.63333333,0.717948718,1.090909091,0.8,21.26666667,0.305555556,68.23,21,46,7,8,2,17,51,5,16,21,4,6,3,3,19,0.0,0.215686275,11.64705882,9.50745098,1.310344828,0.352941176,0.956521739,23.45,0.424818841,65.05,0.20098039199999998
Lake Country Lutheran,33023462,40,49,0,14,44,7,12,5,14,40,12,15,27,5,16,8,2,19,0.0,0.226415094,11.09433962,9.292075472,0.6,1.071428571,0.75,15.63333333,0.241255144,64.76,18,51,5,13,8,31,49,17,19,36,14,14,6,2,13,0.0,0.306451613,12.25806452,12.57677419,1.0,0.774193548,0.862745098,18.76923077,0.26736796,67.21,-0.080036519
Lake Mills,33023462,49,40,1,18,51,5,13,8,31,49,17,19,36,14,14,6,2,13,0.0,0.306451613,12.25806452,12.57677419,1.0,0.774193548,0.862745098,18.76923077,0.26736796,67.21,14,44,7,12,5,14,40,12,15,27,5,16,8,2,19,0.0,0.226415094,11.09433962,9.292075472,0.6,1.071428571,0.75,15.63333333,0.241255144,64.76,0.080036519
Lake Country Lutheran,33023465,64,32,1,24,78,7,11,9,40,64,25,28,53,14,23,19,1,14,0.0,0.233333333,7.466666667,8.157333333,0.789473684,0.675,0.730769231,25.78181818,0.244609281,105.45,12,49,5,11,3,25,32,11,32,43,6,38,10,5,12,0.0,0.134146341,8.585365854,7.136585366,0.75,0.36,0.551020408,12.90909091,0.141237318,94.83,0.099186992
Racine Lutheran,33023465,32,64,0,12,49,5,11,3,25,32,11,32,43,6,38,10,5,12,0.0,0.134146341,8.585365854,7.136585366,0.75,0.36,0.551020408,12.90909091,0.141237318,94.83,24,78,7,11,9,40,64,25,28,53,14,23,19,1,14,0.0,0.233333333,7.466666667,8.157333333,0.789473684,0.675,0.730769231,25.78181818,0.244609281,105.45,-0.099186992
Lake Country Lutheran,33023469,58,52,1,22,53,11,19,3,19,58,19,28,47,7,19,13,2,9,0.0,0.3,15.6,13.452,1.117647059,0.473684211,0.886792453,24.54736842,0.308384025,72.87,21,68,4,8,6,17,52,0,0,25,12,20,12,3,0,0.0,0.16,9.28,8.512,0.588235294,1.058823529,0.705882353,21.8,0.239035088,115.2,0.13999999999999999
St. Thomas More,33023469,52,58,0,21,68,4,8,6,17,52,0,0,25,12,20,12,3,0,0.0,0.16,9.28,8.512,0.588235294,1.058823529,0.705882353,21.8,0.239035088,115.2,22,53,11,19,3,19,58,19,28,47,7,19,13,2,9,0.0,0.3,15.6,13.452,1.117647059,0.473684211,0.886792453,24.54736842,0.308384025,72.87,-0.13999999999999999
Lake Country Lutheran,33023471,41,47,0,15,62,5,11,6,33,41,12,10,20,9,13,19,1,25,0.0,0.194444444,9.138888889,8.275555556,0.620689655,0.545454545,0.580645161,15.90909091,0.200366384,86.96,14,40,19,33,0,5,47,12,25,37,5,25,7,0,12,0.0,0.413793103,16.96551724,14.4662069,0.8,0.0,0.7,18.37575758,0.234984112,68.16,-0.219348659
West Bend West,33023471,47,41,1,14,40,19,33,0,5,47,12,25,37,5,25,7,0,12,0.0,0.413793103,16.96551724,14.4662069,0.8,0.0,0.7,18.37575758,0.234984112,68.16,15,62,5,11,6,33,41,12,10,20,9,13,19,1,25,0.0,0.194444444,9.138888889,8.275555556,0.620689655,0.545454545,0.580645161,15.90909091,0.200366384,86.96,0.219348659
Lake Holcombe,33023474,61,43,1,25,67,7,17,2,13,61,22,16,38,12,24,25,5,17,0.0,0.234567901,10.08641975,9.804938272,0.851851852,0.461538462,0.776119403,26.15294118,0.267412486,94.26,12,29,8,14,3,11,43,8,11,19,8,37,8,0,0,0.0,0.242424242,14.78787879,12.71272727,1.0,0.818181818,0.931034483,13.82857143,0.193136472,69.04,-0.007856341000000017
Bruce,33023474,43,61,0,12,29,8,14,3,11,43,8,11,19,8,37,8,0,0,0.0,0.242424242,14.78787879,12.71272727,1.0,0.818181818,0.931034483,13.82857143,0.193136472,69.04,25,67,7,17,2,13,61,22,16,38,12,24,25,5,17,0.0,0.234567901,10.08641975,9.804938272,0.851851852,0.461538462,0.776119403,26.15294118,0.267412486,94.26,0.007856341000000017
Lake Holcombe,33023475,59,44,1,25,69,7,8,2,12,57,16,16,32,9,26,19,5,0,0.0,0.181818182,8.0,7.323636364,0.807017544,0.5,0.753623188,27.45,0.279531568,105.48,17,49,5,14,5,13,44,14,19,33,3,39,15,5,11,0.0,0.103896104,6.12987013,4.895584416,0.666666667,1.153846154,0.795918367,17.71428571,0.189255189,92.62,0.07792207799999999
Chetek-Weyerhaeuser,33023475,44,59,0,17,49,5,14,5,13,44,14,19,33,3,39,15,5,11,0.0,0.103896104,6.12987013,4.895584416,0.666666667,1.153846154,0.795918367,17.71428571,0.189255189,92.62,25,69,7,8,2,12,57,16,16,32,9,26,19,5,0,0.0,0.181818182,8.0,7.323636364,0.807017544,0.5,0.753623188,27.45,0.279531568,105.48,-0.07792207799999999
Lake Holcombe,33023478,72,66,1,25,59,14,22,8,18,72,17,25,42,17,38,16,1,22,0.0,0.319587629,21.09278351,20.15958763,0.829268293,1.333333333,0.983050847,28.56363636,0.269977659,102.41,22,57,10,22,4,16,66,17,15,32,9,25,14,3,11,0.0,0.256756757,18.48648649,15.80594595,0.87804878,0.75,0.842105263,23.81818182,0.262314778,86.61,0.06283087199999998
Eau Claire Immanuel Lutheran,33023478,66,72,0,22,57,10,22,4,16,66,17,15,32,9,25,14,3,11,0.0,0.256756757,18.48648649,15.80594595,0.87804878,0.75,0.842105263,23.81818182,0.262314778,86.61,25,59,14,22,8,18,72,17,25,42,17,38,16,1,22,0.0,0.319587629,21.09278351,20.15958763,0.829268293,1.333333333,0.983050847,28.56363636,0.269977659,102.41,-0.06283087199999998
Lake Holcombe,33023481,63,58,1,20,49,18,29,2,14,63,16,24,40,8,30,21,8,19,0.0,0.366197183,21.23943662,18.3684507,1.028571429,0.428571429,0.857142857,24.46896552,0.270076882,81.48,18,53,7,12,5,29,58,15,19,34,18,19,19,0,20,0.0,0.333333333,21.0,20.52,1.083333333,0.517241379,0.773584906,19.63333333,0.255642361,77.15,0.03286384999999997
Prairie Farm,33023481,58,63,0,18,53,7,12,5,29,58,15,19,34,18,19,19,0,20,0.0,0.333333333,21.0,20.52,1.083333333,0.517241379,0.773584906,19.63333333,0.255642361,77.15,20,49,18,29,2,14,63,16,24,40,8,30,21,8,19,0.0,0.366197183,21.23943662,18.3684507,1.028571429,0.428571429,0.857142857,24.46896552,0.270076882,81.48,-0.03286384999999997
Lake Holcombe,33023482,62,57,1,24,60,14,26,1,15,63,21,21,42,9,33,21,7,31,0.0,0.283950617,16.18518519,14.24296296,1.022222222,0.2,0.816666667,27.01538462,0.261270644,94.53,18,59,20,42,1,6,57,21,15,0,5,22,13,1,0,0.0,0.384615385,23.84615385,19.58461538,0.641509434,0.5,0.627118644,21.80952381,0.223001266,82.13,-0.10066476799999996
Prentice,33023482,57,62,0,18,59,20,42,1,6,57,21,15,0,5,22,13,1,0,0.0,0.384615385,23.84615385,19.58461538,0.641509434,0.5,0.627118644,21.80952381,0.223001266,82.13,24,60,14,26,1,15,63,21,21,42,9,33,21,7,31,0.0,0.283950617,16.18518519,14.24296296,1.022222222,0.2,0.816666667,27.01538462,0.261270644,94.53,0.10066476799999996
Lake Holcombe,33023484,61,33,1,22,70,14,23,3,19,61,17,32,49,12,28,19,6,16,0.0,0.279569892,9.225806452,9.561290323,0.745098039,0.473684211,0.671428571,25.40869565,0.237021415,107.81,13,61,3,11,2,9,33,12,22,34,2,36,15,2,0,0.0,0.057471264,3.505747126,2.751724138,0.423076923,0.666666667,0.459016393,13.32727273,0.13143267,108.56,0.222098628
Winter,33023484,33,61,0,13,61,3,11,2,9,33,12,22,34,2,36,15,2,0,0.0,0.057471264,3.505747126,2.751724138,0.423076923,0.666666667,0.459016393,13.32727273,0.13143267,108.56,22,70,14,23,3,19,61,17,32,49,12,28,19,6,16,0.0,0.279569892,9.225806452,9.561290323,0.745098039,0.473684211,0.671428571,25.40869565,0.237021415,107.81,-0.222098628
Lake Mills,33023485,48,34,1,16,46,13,23,3,18,48,9,22,31,11,13,7,0,15,0.0,0.393442623,13.37704918,13.4557377,0.928571429,0.5,0.760869565,18.93913043,0.27769986,67.77,13,45,6,15,2,8,34,7,18,25,12,18,3,2,20,0.0,0.264705882,12.70588235,12.07058824,0.594594595,0.75,0.622222222,13.96,0.202318841,73.51,0.128736741
Cambridge,33023485,34,48,0,13,45,6,15,2,8,34,7,18,25,12,18,3,2,20,0.0,0.264705882,12.70588235,12.07058824,0.594594595,0.75,0.622222222,13.96,0.202318841,73.51,16,46,13,23,3,18,48,9,22,31,11,13,7,0,15,0.0,0.393442623,13.37704918,13.4557377,0.928571429,0.5,0.760869565,18.93913043,0.27769986,67.77,-0.128736741
Lake Mills,33023487,54,38,1,19,35,8,15,8,19,54,5,24,29,10,16,2,2,13,0.0,0.321428571,12.21428571,11.72571429,1.375,1.263157895,1.314285714,20.70666667,0.363274854,59.65,10,35,9,15,3,12,38,4,15,19,5,9,11,1,13,0.0,0.311111111,16.8,13.95022222,0.608695652,0.75,0.657142857,12.16,0.2432,53.72,0.01031746
Columbus,33023487,38,54,0,10,35,9,15,3,12,38,4,15,19,5,9,11,1,13,0.0,0.311111111,16.8,13.95022222,0.608695652,0.75,0.657142857,12.16,0.2432,53.72,19,35,8,15,8,19,54,5,24,29,10,16,2,2,13,0.0,0.321428571,12.21428571,11.72571429,1.375,1.263157895,1.314285714,20.70666667,0.363274854,59.65,-0.01031746
Lake Mills,33023491,58,30,1,20,48,11,19,7,26,58,16,23,39,13,23,9,2,13,0.0,0.352941176,10.58823529,11.53411765,1.181818182,0.807692308,0.979166667,22.54736842,0.286862194,73.08,12,44,5,15,1,9,30,8,13,21,7,16,13,5,18,0.0,0.203389831,11.79661017,10.04745763,0.628571429,0.333333333,0.568181818,12.66666667,0.191919192,69.04,0.14955134500000003
Lodi,33023491,30,58,0,12,44,5,15,1,9,30,8,13,21,7,16,13,5,18,0.0,0.203389831,11.79661017,10.04745763,0.628571429,0.333333333,0.568181818,12.66666667,0.191919192,69.04,20,48,11,19,7,26,58,16,23,39,13,23,9,2,13,0.0,0.352941176,10.58823529,11.53411765,1.181818182,0.807692308,0.979166667,22.54736842,0.286862194,73.08,-0.14955134500000003
Lake Mills,33023493,69,42,1,21,63,15,20,12,39,69,19,27,46,16,13,9,8,18,0.0,0.424657534,17.83561644,18.71890411,0.75,0.923076923,0.857142857,25.5,0.303571429,80.87,16,45,9,20,1,12,42,4,20,24,5,18,5,0,0,0.0,0.21875,15.09375,12.3025,0.909090909,0.25,0.733333333,17.62,0.248169014,76.72,0.205907534
Poynette,33023493,42,69,0,16,45,9,20,1,12,42,4,20,24,5,18,5,0,0,0.0,0.21875,15.09375,12.3025,0.909090909,0.25,0.733333333,17.62,0.248169014,76.72,21,63,15,20,12,39,69,19,27,46,16,13,9,8,18,0.0,0.424657534,17.83561644,18.71890411,0.75,0.923076923,0.857142857,25.5,0.303571429,80.87,-0.205907534
