Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Wauwatosa East,71,37779207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Washington,63,37779207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luck,11,36749721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medford,29,36749721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Allis Hale,40,37768337,0,0,0,0,0,0,58,0,0,27,0,0,0,0,0,0
Muskego,58,37768337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reedsburg,50,37424015,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
La Crosse Central,48,37424015,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
New Glarus,74,37738556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baraboo,46,37738556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suring,21,37773463,9,0,7,11,5,0,40,0,0,27,7,0,14,1,0,0
Crandon,40,37773463,9,31,2,7,1,7,21,7,18,25,8,0,5,7,0,0
Augusta,32,36800890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merrill,76,36800890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Shore,66,37153677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unity,45,37153677,20,37,8,15,6,17,66,3,18,21,15,0,14,4,0,0
Amherst,31,37726669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgar,49,37726669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparta,27,37384400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sauk Prairie,55,37384400,11,46,3,17,2,19,27,8,18,26,7,27,6,0,12,0
Barneveld,45,37722846,21,56,9,24,3,10,54,20,25,45,14,10,8,5,12,0
Rio,54,37722846,14,38,8,13,3,15,43,6,18,24,7,11,9,3,0,0
Milwaukee Lutheran,33,37766027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedarburg,82,37766027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prairie du Chien,51,37647198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dover-Eyota,41,37647198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niagara,53,36750427,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
Three Lakes,41,36750427,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
Princeton/Green Lake,22,37698351,23,51,14,27,5,14,65,14,12,26,17,8,15,3,9,0
