Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Wabeno/Laona,59,36752003,20,60,8,16,3,14,51,0,0,33,8,25,8,1,25,0
Oconto,51,36752003,16,53,19,26,8,29,59,13,22,35,8,0,16,5,0,0
Saint Francis,52,37296200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Anthony,13,37296200,22,74,6,10,2,24,51,26,24,50,6,0,14,0,0,0
Greenfield,47,36749069,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
Waterford,30,36749069,18,60,10,19,1,19,47,18,24,42,11,0,18,3,18,0
Milw. Pulaski/Carmen South/Carmen Southeast/Juneau,37,37359165,15,38,5,11,2,9,41,11,25,36,0,16,16,0,14,0
Chesterton Academy,41,37359165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menominee Indian,60,37482796,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
Oneida Nation,56,37482796,21,56,12,20,6,25,60,18,18,36,14,20,13,1,10,0
Boyceville,39,36747691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence,36,36747691,0,0,14,27,0,0,39,0,0,0,0,0,0,0,0,0
Northland Pines,23,36750486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Lakes,55,36750486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osceola,44,36750639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Croix Central,53,36750639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palmyra-Eagle,45,36750722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montello,50,36750722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Random Lake,45,36751096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheboygan Lutheran,72,36751096,14,31,14,25,1,10,45,4,12,16,8,21,13,0,0,0
Clear Lake,56,36748122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter,46,36748122,19,74,15,19,3,19,56,18,33,51,9,13,5,3,0,0
Manitowoc Lutheran,52,36749838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reedsville,46,36749838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amherst,37,36747289,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
Brillion,58,36747289,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
Ashwaubenon,62,36747406,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
West De Pere,64,36747406,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0
Baldwin-Woodville,65,36747470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amery,60,36747470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
