Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Chippewa Falls,39,36748089,26,49,17,26,3,7,73,7,35,42,6,0,12,11,0,0
La Crosse Logan,72,36748089,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
Eleva-Strum,54,36748664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boyceville,38,36748664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosholt,65,36751277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawa,43,36751277,22,56,18,24,4,6,65,21,22,43,18,22,14,5,16,0
Washburn,37,36752011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mellen,62,36752011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitehall,64,36752396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alma/Pepin,61,36752396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington County Home School,54,37863341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maranatha Baptist,15,37863341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,32,37974709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elcho,33,37974709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clintonville,65,36748138,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
Luxemburg-Casco,52,36748138,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
De Soto,26,36748327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Lisbon,64,36748327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faith Christian,22,36748733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juda,58,36748733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gale-Ettrick-Trempealeau,52,36748877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viroqua,29,36748877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gillett,51,36748911,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
St. Thomas Aquinas,9,36748911,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
Oconto Falls,37,36750571,21,45,15,20,6,15,63,11,18,29,9,19,12,1,0,0
Fox Valley Lutheran,63,36750571,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
Wrightstown,52,36752581,12,39,5,10,0,5,29,7,17,24,6,21,5,3,9,0
Little Chute,29,36752581,23,57,3,12,3,20,52,14,19,33,14,13,14,4,0,0
Milwaukee Madison,38,37553116,22,0,8,23,0,0,52,0,0,0,0,0,0,0,0,0
Milwaukee Bradley Tech/Arts,52,37553116,16,0,0,1,6,0,38,0,0,0,0,0,0,0,0,0
South Shore,88,37798777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duluth Denfeld,33,37798777,20,43,15,21,11,28,89,21,21,42,22,0,23,3,0,0
Adams-Friendship,36,36747216,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
Tomah,52,36747216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonduel,57,36747654,16,48,13,19,8,25,53,12,15,27,12,15,9,1,16,0
Auburndale,53,36747654,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
Brillion,47,36747699,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
Oostburg,52,36747699,18,40,5,6,6,14,47,7,27,34,16,26,3,3,17,0
Butternut,43,36747898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,29,36747898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadott,66,36747925,22,72,7,9,2,20,53,15,32,47,9,20,8,1,18,18
Mondovi,53,36747925,25,83,10,24,6,32,66,26,31,57,11,13,15,4,13,0
Colby,40,36748166,11,40,17,20,3,12,48,17,18,35,10,20,11,4,11,0
Stratford,48,36748166,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
Deerfield,48,36748344,14,43,3,5,5,16,36,15,24,39,10,23,3,1,19,0
Watertown Luther Prep,36,36748344,17,44,10,21,4,5,48,7,11,18,8,10,16,1,13,17
Drummond,49,36748489,22,59,9,12,4,21,57,12,19,32,15,0,10,0,0,0
Hurley,57,36748489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eau Claire Memorial,59,36748604,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
Stevens Point,55,36748604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgar,48,36748622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loyal,37,36748622,19,54,10,15,0,11,48,14,26,40,11,0,8,3,0,0
Kettle Moraine Lutheran,53,36749422,13,31,9,15,3,13,44,5,23,28,0,0,0,0,0,0
Berlin,44,36749422,9,34,10,14,9,27,55,12,18,30,13,11,14,2,16,0
Melrose-Mindoro,58,36749991,11,48,21,31,6,19,61,19,38,57,13,22,2,4,0,0
Cashton,61,36749991,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
Niagara,64,36750429,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
Wausaukee,38,36750429,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
Pittsville,27,36750806,0,0,0,0,0,0,45,0,0,22,12,0,0,0,0,0
Pacelli,45,36750806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reedsville,36,36751133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheboygan Lutheran,84,36751133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royall,60,36751296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weston,27,36751296,26,61,4,6,4,14,60,14,21,35,13,0,16,2,12,0
Shawano,70,36751380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigo,71,36751380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suring,36,36751790,11,52,16,29,4,18,42,17,23,40,8,17,14,4,14,0
Lena,42,36751790,13,44,7,12,3,15,36,10,25,35,11,0,9,2,0,0
