Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Manawa,64,36749810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,17,36749810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Golda Meir,46,37553039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heritage Christian,65,37553039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowler,40,37842698,33,87,7,9,9,29,80,22,18,40,22,16,33,5,14,0
Wild Rose,80,37842698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodman/Pembine,20,36748957,33,82,4,9,6,26,76,22,21,43,14,0,34,2,0,0
Wabeno/Laona,76,36748957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,42,36748066,11,39,7,8,4,17,33,10,17,27,6,23,7,2,13,0
Chetek-Weyerhaeuser,33,36748066,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
Coulee Christian/Providence,26,36748229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Lisbon,57,36748229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodgeville,59,36748459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Dells,60,36748459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watertown,50,36752050,18,40,11,18,7,15,54,9,16,25,15,17,7,0,19,0
Sussex Hamilton,54,36752050,19,42,11,17,1,9,50,5,14,19,11,0,12,0,0,0
West Allis Central,47,36752243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Allis Hale,73,36752243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menominee (MI),46,36832658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gillett,54,36832658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcadia,30,36747364,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
Onalaska,67,36747364,11,40,3,8,5,17,30,9,19,28,10,24,4,1,0,0
Augusta,39,36747446,27,62,4,8,4,6,62,16,17,33,20,0,13,2,0,0
Cochrane-Fountain City,62,36747446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blair-Taylor,85,36747641,0,0,0,0,0,0,43,0,0,21,11,0,12,0,0,0
Whitehall,43,36747641,30,63,13,18,4,8,85,12,20,32,21,16,13,7,12,0
Chippewa Falls,26,36748090,32,55,14,19,5,12,83,13,16,29,19,12,22,3,0,0
Marshfield,82,36748090,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
Colby,36,36748164,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
Owen-Withee,28,36748164,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
Plum City/Elmwood,16,36750837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durand-Arkansaw,54,36750837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripon,46,36751214,19,39,12,16,5,11,55,5,19,24,9,15,10,1,13,0
Winnebago Lutheran,55,36751214,17,55,6,7,6,16,46,14,15,29,10,17,6,0,18,0
St. Mary Catholic,61,36751677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elkhart Lake-Glenbeulah,35,36751677,26,62,5,9,4,12,61,15,25,40,16,11,14,1,6,0
Norway (MI),33,36832636,13,36,29,40,3,9,58,5,22,27,7,17,14,2,18,0
Florence,58,36832636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Hawk,40,38073277,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
Pecatonica,59,38073277,11,36,3,12,5,28,40,16,13,29,8,16,15,0,18,0
Benton,52,36747580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fennimore,60,36747580,18,50,9,18,7,22,52,8,24,32,13,17,9,2,20,0
Gilman,63,36748925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thorp,57,36748925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lancaster,88,36749629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argyle,18,36749629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
