Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Arrowhead,33,38311974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookfield East,53,38311974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakeland,60,38311981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menomonie,59,38311981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedarburg,60,38311983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notre Dame,86,38311983,22,61,11,20,5,24,60,14,13,27,13,19,13,2,27,0
McFarland,70,38311985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Grove,51,38311985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pius XI Catholic,59,38311986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pewaukee,75,38311986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Salem,55,38311988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somerset,50,38311988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waupun,50,38311991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prairie du Chien,40,38311991,19,43,9,23,3,16,50,11,23,34,11,5,8,5,16,0
Cuba City,63,38312000,28,71,4,4,7,25,67,8,22,30,21,7,12,2,0,0
Aquinas,67,38312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Prairie School,59,38312001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laconia,71,38312001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siren,48,38312002,26,55,9,12,9,20,70,8,24,32,22,6,13,1,18,0
McDonell Central,70,38312002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont,57,38312006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blair-Taylor,62,38312006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hortonville,71,38311969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neenah,54,38311969,19,0,26,34,2,0,71,0,0,0,0,0,0,0,16,0
Edgar,43,38312004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wabeno/Laona,53,38312004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,59,38311979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettle Moraine,87,38311979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oakfield,40,38312007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany,65,38312007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
