Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Xavier,44,36752590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonduel,41,36752590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Crawford,43,36750450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viroqua,44,36750450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheboygan Christian,54,36751393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Wisconsin Christian,43,36751393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pecatonica,43,36788075,21,65,12,29,6,24,60,17,22,39,20,17,17,1,13,0
Shullsburg,60,36788075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richland Center,46,37315703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hillsboro,69,37315703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbotsford,65,36747190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colby,26,36747190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black River Falls,28,36747627,0,0,6,9,4,0,62,0,0,0,0,0,0,0,0,0
Royall,62,36747627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodgeland,44,36748416,13,48,5,10,6,20,37,11,18,29,8,28,12,2,18,0
Johnson Creek,37,36748416,19,44,3,11,1,6,44,8,17,25,16,31,18,1,0,0
Kenosha Christian Life,35,36749372,31,84,2,5,10,41,76,28,28,56,14,20,24,0,18,0
Lake Country Lutheran,76,36749372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New London,48,36750392,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
Pulaski,36,36750392,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
Benton,51,36747582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southwestern,40,36747582,19,44,9,17,4,9,51,6,22,28,16,33,14,4,20,0
Fennimore,43,36748771,12,28,13,18,1,16,40,10,14,24,6,0,13,0,0,0
River Ridge,40,36748771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineral Point,81,36750167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Valley,28,36750167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
