Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Westosha Central,48,37401446,18,65,14,23,8,29,58,22,29,51,10,7,10,0,0,0
Platteville,58,37401446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,61,37334816,19,38,7,12,1,5,53,12,24,36,7,7,10,5,0,0
Milwaukee Academy of Science,53,37334816,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
Prairie du Chien,67,37401454,22,47,10,13,5,15,59,9,28,37,17,0,10,5,0,0
Lakeland,59,37401454,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0
Albany,65,36747225,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
Williams Bay,33,36747225,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
Janesville Parker,37,36749306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janesville Craig,78,36749306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison West,27,36749800,22,49,18,23,5,23,77,17,27,44,13,13,16,3,16,0
Madison East,77,36749800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kewaskum,38,37090848,28,65,8,13,12,28,76,16,20,36,16,14,20,1,0,0
Aquinas,76,37090848,13,41,7,14,5,25,38,10,15,25,8,29,4,4,12,0
Shorewood,89,37464389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolet,47,37464389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menomonie,39,37401461,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
Beaver Dam,61,37401461,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
Notre Dame,67,36750519,26,59,6,13,10,27,68,4,14,18,15,0,14,1,0,0
Pewaukee,68,36750519,21,0,21,28,4,0,67,0,0,0,0,0,0,0,0,0
Brookfield East,62,37401464,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
Waupun,57,37401464,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0
Hortonville,49,37387902,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
Sun Prairie West,36,37387902,12,0,20,29,5,0,49,0,0,0,0,0,0,0,17,0
Beloit Memorial,24,36747579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verona,112,36747579,5,27,5,7,3,16,24,4,11,15,4,0,7,0,10,0
Madison Memorial,54,36749791,26,64,13,22,5,19,70,22,29,51,12,18,11,3,15,0
Madison La Follette,70,36749791,19,0,5,0,11,29,54,0,0,14,11,0,12,5,0,0
Sun Prairie East,45,36751766,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
Middleton,55,36751766,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
Kettle Moraine Lutheran,47,36749427,16,42,14,27,4,13,58,11,29,40,0,0,9,2,0,0
Lakeside Lutheran,58,36749427,12,41,5,11,6,27,47,11,17,28,6,13,11,0,20,0
