Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Blair-Taylor,46,38390131,17,41,23,28,4,15,61,6,22,28,13,8,6,2,10,0
McDonell Central,61,38390131,14,27,0,0,6,24,46,4,16,20,14,9,3,2,22,0
Kettle Moraine,47,38394707,13,46,12,20,2,14,40,13,17,30,4,9,9,0,21,0
Brookfield East,40,38394707,14,34,13,24,6,18,47,10,24,34,12,14,4,2,12,0
