Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Stevens Point,44,38241823,24,51,4,4,11,23,65,4,18,41,18,12,3,1,18,0
Neenah,65,38241823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wausau West,54,38241826,15,52,14,19,7,26,51,14,20,34,10,16,11,0,17,0
Superior,51,38241826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divine Savior Holy Angels,74,38241829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hartford,64,38241829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kimberly,57,38241831,21,0,7,12,5,0,54,0,0,0,0,0,0,0,0,0
Homestead,54,38241831,22,48,7,14,6,17,57,12,14,26,12,18,6,3,12,0
Sussex Hamilton,35,38241835,25,0,10,16,8,0,68,0,0,0,0,0,0,0,0,0
Brookfield East,68,38241835,13,31,5,8,4,9,35,2,21,23,9,29,3,1,12,0
Muskego,29,38241840,27,51,9,12,12,26,75,11,18,29,13,0,15,2,0,0
Kettle Moraine,75,38241840,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
Badger,44,38241844,29,0,6,8,11,0,75,0,0,0,0,0,0,0,10,0
Franklin,75,38241844,15,0,8,13,6,0,44,0,0,0,0,0,0,0,0,0
La Crosse Central,55,38241890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menomonie,70,38241890,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
West De Pere,63,38241896,23,51,15,17,7,14,68,10,22,32,15,13,8,1,0,0
Fox Valley Lutheran,68,38241896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeForest,45,38241900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monona Grove,46,38241900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elkhorn,32,38241906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waukesha West,64,38241906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitnall,40,38241913,15,48,11,17,6,20,47,9,24,33,5,9,9,4,9,0
Martin Luther,47,38241913,15,55,6,10,4,24,40,8,18,26,0,5,5,3,14,0
St. Croix Falls,56,38241917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prescott,48,38241917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier,45,38241923,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0
Freedom,62,38241923,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
Peshtigo,47,38241924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrightstown,56,38241924,14,43,12,16,7,20,47,7,16,23,7,14,8,5,0,0
Sheboygan Falls,34,38241927,15,41,8,15,3,11,41,7,24,31,9,15,14,3,13,0
Kewaskum,41,38241927,13,42,5,12,3,13,34,14,24,38,7,16,6,0,16,0
Platteville,39,38241930,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
Edgerton,29,38241930,13,34,9,13,4,14,39,2,14,16,8,10,9,3,0,0
Lakeside Lutheran,36,38241931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Mills,44,38241931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omro,37,38241933,22,42,14,18,4,12,62,7,12,19,14,7,10,2,12,0
