Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Divine Savior Holy Angels,60,36748396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheboygan North,48,36748396,17,44,18,29,8,24,60,10,19,29,14,21,13,2,0,0
Milwaukee School of Languages,57,37427301,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
Kenosha St. Joseph,71,37427301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Excellence Charter School,27,37553937,27,0,7,12,1,0,62,0,0,0,0,0,0,0,0,0
Milwaukee Washington/Collegiate Academy,62,37553937,10,0,5,13,2,0,27,0,0,0,0,0,0,0,0,0
