Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
St. Thomas Aquinas,10,36751308,0,0,3,10,0,0,57,0,0,0,0,0,0,0,0,0
Coleman,57,36751308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Country Lutheran,34,36749579,22,0,6,7,8,0,58,0,0,0,0,0,0,0,0,0
New Berlin West,58,36749579,8,0,12,15,6,0,34,0,0,0,0,0,0,0,0,0
New London,36,36750386,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
Fox Valley Lutheran,43,36750386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburndale,68,36747441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shiocton,49,36747441,25,44,8,10,10,17,68,4,18,22,17,15,14,4,14,0
Messmer,0,36750080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Augustine Prep,2,36750080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Fond du Lac,51,36750464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Mary's Springs,71,36750464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salam,18,36751332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palmyra-Eagle,78,36751332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowler,27,37865140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newman Catholic,79,37865140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beloit Memorial,61,38068353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Hamilton/Audubon,16,38068353,16,34,17,24,4,6,61,15,39,54,11,0,16,2,7,0
Mellen,24,36750934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwood,51,36750934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racine Case,43,38116092,24,0,4,8,8,0,60,0,0,0,0,0,0,0,0,0
Badger,71,38116092,15,0,11,16,2,0,43,0,0,0,0,0,0,0,0,0
Black River Falls,33,36747623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gale-Ettrick-Trempealeau,40,36747623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawa,63,36749815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
