Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Oakfield,61,36750541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shullsburg,29,36750541,17,39,6,8,7,19,61,11,24,35,13,12,10,3,17,0
Fort Atkinson,36,36748814,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
Jefferson,46,36748814,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
Martin Luther,36,36749920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Grove,58,36749920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont,44,36747565,29,45,9,13,6,16,73,7,29,36,21,11,4,7,17,0
New Glarus,73,36747565,11,53,18,27,4,18,44,13,9,22,8,12,5,1,0,0
Baraboo,31,36747498,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
Reedsburg,71,36747498,12,37,4,9,3,17,31,7,26,33,0,0,0,0,0,0
Beloit Memorial,34,36747569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janesville Craig,76,36747569,9,47,9,16,4,23,34,8,22,30,7,11,9,4,20,0
Denmark,45,36748378,22,46,11,17,4,10,59,11,17,28,18,10,10,5,16,0
Sheboygan Falls,59,36748378,15,37,6,13,9,24,45,10,11,21,10,16,4,0,0,0
Dodgeville,62,36748430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Hawk,54,36748430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Memorial,75,36749789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janesville Parker,53,36749789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plum City/Elmwood,33,36750833,16,37,10,17,9,21,69,12,15,27,15,8,15,6,19,0
Blair-Taylor,69,36750833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Door,44,36751575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oconto Falls,21,36751575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,44,36748199,28,60,7,8,7,22,70,16,24,40,20,14,12,3,21,0
Oregon,70,36748199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettle Moraine Lutheran,57,36749425,18,34,11,17,12,21,83,10,13,23,0,6,0,0,17,0
Homestead,83,36749425,15,29,12,17,5,16,57,6,6,12,7,14,5,1,15,0
Marshfield,58,36749906,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
Oshkosh West,42,36749906,18,42,15,23,7,18,58,4,20,24,8,12,7,0,0,0
New Berlin West,63,36750344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waunakee,53,36750344,22,46,14,21,5,13,63,4,23,27,17,0,3,2,0,0
Hudson,60,36804143,25,48,11,15,7,21,68,3,18,21,16,15,15,4,13,0
Superior,68,36804143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheboygan Lutheran,81,36751418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Holstein,36,36751418,31,62,10,16,9,22,81,14,21,35,22,13,13,2,16,0
La Crosse Logan,47,36749519,18,46,15,21,6,16,57,10,19,29,9,12,10,2,0,0
Platteville,57,36749519,18,43,5,10,6,15,47,7,18,25,8,0,3,9,0,0
Mellen,35,37316009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sevastopol,64,37316009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lena,45,36749650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Lakes,41,36749650,15,48,13,17,2,9,45,15,22,37,10,22,11,7,13,0
Gillett,43,36748908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northland Pines,28,36748908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren (IL),30,37552851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potosi/Cassville,37,37552851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,42,37665514,28,55,8,14,10,18,74,4,28,32,13,13,4,4,16,0
Elkhart Lake-Glenbeulah,74,37665514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peshtigo,51,36750764,6,47,5,13,1,10,18,10,26,36,2,23,10,5,0,0
Crivitz,18,36750764,17,46,12,21,5,17,51,5,20,25,4,10,13,2,0,0
West Salem,60,37705844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldwin-Woodville,44,37705844,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
Brown Deer,60,36747817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Random Lake,78,36747817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,55,36748284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spooner,29,36748284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgewood,59,36748643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laconia,51,36748643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
