Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Badger,47,37916740,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
Catholic Memorial,55,37916740,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
Bangor,40,36747479,27,53,8,10,18,32,80,7,18,25,20,8,9,1,0,0
Aquinas,80,36747479,16,38,5,10,5,13,40,5,13,18,11,17,5,1,0,0
Portage,22,37903431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton,67,37903431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janesville Parker,17,36749317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verona,91,36749317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio,69,37823947,16,50,7,13,4,16,40,10,29,39,11,31,11,2,21,0
Wayland Academy,42,37823947,26,66,9,20,5,17,69,11,27,38,17,14,14,0,15,0
Monroe,14,37879304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waunakee,67,37879304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence,62,36749255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenwood City,24,36749255,21,60,14,27,6,20,62,17,26,43,12,0,21,0,14,14
Kenosha Christian Life,52,37722609,6,0,4,15,0,0,16,0,0,25,3,0,18,2,10,0
Saint Anthony,16,37722609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodgeland,47,37823949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parkview,37,37823949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Prairie West,111,36747578,13,44,14,25,2,11,42,7,22,30,3,0,8,0,16,0
Beloit Memorial,42,36747578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butternut,70,36747887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birchwood,34,36747887,26,75,3,6,5,17,70,29,32,61,11,0,18,0,0,0
Baraboo,50,37889362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Atkinson,47,37889362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookwood,32,36747766,25,46,9,14,5,21,74,14,24,38,17,15,15,3,12,0
Blair-Taylor,74,36747766,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
Southern Door,64,36751572,13,41,12,19,2,8,41,9,22,31,9,20,7,3,17,0
Green Bay NEW Lutheran/Providence Academy,44,36751572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lena,63,37326626,6,26,0,0,0,6,12,11,16,27,3,0,7,1,9,0
Stockbridge,12,37326626,27,53,5,11,4,10,63,12,10,22,22,13,23,6,6,0
Milwaukee Madison,37,36750135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolet,48,36750135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Lutheran,52,36752525,11,34,15,22,4,10,41,7,16,23,7,27,7,2,15,0
Sheboygan South,41,36752525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison East,70,36749772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Prairie East,51,36749772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markesan,40,37823955,11,35,25,39,1,8,50,5,17,22,7,11,14,3,17,7
Deerfield,50,37823955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racine Case,13,36750983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Prairie School,79,36750983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Horeb,45,37889051,20,43,3,11,8,23,51,9,18,27,17,0,10,5,0,0
Watertown,51,37889051,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
Chippewa Falls,39,36748096,30,52,27,41,6,13,93,14,33,47,16,19,18,3,14,0
Superior,93,36748096,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
Janesville Craig,61,36749296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison La Follette,44,36749296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oakfield,49,37823956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardeeville,36,37823956,17,48,9,18,2,8,49,16,25,41,12,18,15,2,16,0
Milwaukee Bradley Tech/Arts,40,36750106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee South,68,36750106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Memorial,47,36749793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton,78,36749793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourdes Academy,28,37823957,21,59,10,20,3,16,55,10,26,36,8,14,11,1,8,0
Randolph,55,37823957,11,53,2,4,4,22,28,9,14,23,8,0,12,3,0,0
Martin Luther,51,36749913,14,46,5,8,7,24,40,7,13,20,11,12,5,3,11,0
Grafton,40,36749913,18,50,11,13,4,16,51,12,19,31,2,1,4,1,8,0
Milwaukee North,2,37553575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Obama SCTE,0,37553575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milw. Pulaski/Carmen South/Carmen Southeast/Juneau,58,37917372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee North,29,37917372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilton,40,36748077,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
Lomira,49,36748077,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
Reedsburg,67,37903440,17,0,13,19,5,0,52,0,0,0,0,0,0,0,0,0
Monona Grove,54,37903440,16,0,28,43,6,0,65,0,0,0,0,0,0,0,0,0
Algoma,36,36747231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,31,36747231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sevastopol,69,36751359,0,0,13,22,0,0,42,0,0,0,0,0,0,0,0,0
Oconto,42,36751359,24,50,15,20,9,18,69,9,23,32,16,10,13,2,0,0
