Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Augusta,45,37782054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plum City/Elmwood,38,37782054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparta,33,37727637,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
Reedsburg,61,37727637,12,48,4,7,5,25,33,6,15,21,10,22,9,5,13,0
Luther,53,37647242,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
Lewiston-Altura,55,37647242,0,0,0,0,2,0,53,0,0,0,0,0,0,0,0,0
Somerset,49,37746398,17,57,8,17,4,19,44,22,22,44,13,18,9,4,16,0
Ripon,44,37746398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bearden (TN),59,37756141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver Dam,39,37756141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawa,63,37782059,11,0,18,23,1,0,43,11,24,35,10,0,5,11,0,0
Milwaukee Golda Meir,43,37782059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pius XI Catholic,48,36750818,14,0,5,11,2,0,35,0,0,0,0,0,0,0,0,0
Watertown,35,36750818,15,44,8,10,10,27,48,5,20,25,12,11,5,0,12,0
La Crosse Central,41,37384405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sauk Prairie,60,37384405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wauwatosa West,68,37782049,14,63,9,15,4,19,37,15,21,36,9,19,8,1,13,0
Mosinee,41,37782049,26,66,4,6,12,30,68,13,26,39,18,13,14,1,12,0
Cochrane-Fountain City,59,37782064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangor,64,37782064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wausau West,59,36804140,23,43,9,17,2,9,57,7,19,26,17,22,8,0,15,0
Hudson,57,36804140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenfield,73,36990958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Rapids,47,36990958,24,0,20,28,5,0,73,0,0,0,0,0,0,0,0,0
NE Wis. Christian Home School,22,37781252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elkhart Lake-Glenbeulah,65,37781252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alma/Pepin,27,37782055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merrill,62,37782055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Atkinson,48,36748813,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
Elkhorn,59,36748813,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
Loyal,48,36749716,17,57,15,22,3,6,49,9,35,44,3,13,5,0,22,0
Rosholt,52,36749716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rice Lake,45,36751179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayward,42,36751179,0,0,0,0,0,0,45,0,0,0,0,0,0,0,20,0
Kimberly,67,37782061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookfield Central,60,37782061,22,51,13,20,10,34,67,5,15,20,13,7,11,1,19,0
Shullsburg,40,37782065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stratford,51,37782065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amery,48,36747276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barron,45,36747276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osceola,60,36750636,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
Grantsburg,48,36750636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter,40,36752483,22,48,6,12,1,11,53,17,30,47,13,0,14,0,0,0
Butternut,53,36752483,16,68,5,13,3,17,40,20,17,37,5,22,20,0,0,0
Superior,56,37351204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshfield,50,37351204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neillsville,52,37782050,5,17,0,0,12,23,46,6,17,23,15,22,9,2,25,0
Auburndale,46,37782050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mukwonago,52,37788746,14,0,4,0,4,0,43,13,16,29,3,0,7,1,0,0
Milwaukee King,44,37788746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catholic Memorial,52,36748007,17,0,19,21,4,0,63,0,0,0,0,0,0,0,15,0
Franklin,63,36748007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racine Horlick,24,36750985,0,0,0,0,6,0,74,0,0,0,0,0,0,0,0,0
Burlington,74,36750985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luck,13,36832811,33,58,6,12,7,20,79,16,26,42,25,6,19,8,9,0
McDonell Central,79,36832811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakeland,49,37084705,26,0,2,10,3,0,53,0,0,0,0,0,0,0,0,0
Waupun,53,37084705,19,0,3,9,8,0,49,0,0,0,0,0,0,0,0,0
Oak Creek,21,37697584,13,44,4,10,4,20,34,8,11,19,10,0,16,1,0,0
Pewaukee,34,37697584,9,27,3,4,0,9,21,6,23,29,5,34,6,0,12,0
Kohler,53,37788774,18,44,14,31,9,25,77,18,31,49,15,24,18,4,0,0
North Fond du Lac,76,37788774,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
Boscobel,74,36747674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wauzeka-Steuben,48,36747674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pittsville,61,36750276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Necedah,20,36750276,25,41,4,7,3,5,57,0,0,39,14,0,26,0,0,0
Hartford,65,37315800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richland Center,35,37315800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowhead,63,37410700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homestead,59,37410700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omro,35,37699901,20,56,3,5,4,20,47,9,21,30,10,16,9,0,13,0
Plymouth,47,37699901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Excellence Charter School,15,37719700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgerton,84,37719700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grafton,58,37782058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheboygan Lutheran,55,37782058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stevens Point,41,37726684,20,37,5,8,9,17,54,4,25,29,16,19,3,3,14,0
Fond du Lac,54,37726684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Thomas Aquinas,14,37782056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
