Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Eau Claire Memorial,65,38268137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neenah,74,38268137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kimberly,63,38268149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaukauna,59,38268149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenosha Bradford,35,38268161,28,0,11,16,10,0,77,0,0,14,9,0,8,1,0,0
Kettle Moraine,77,38268161,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
Oak Creek,38,38268166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,46,38268166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fox Valley Lutheran,24,38268176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notre Dame,72,38268176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McFarland,61,38268181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monona Grove,58,38268181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waukesha West,51,38268184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Grove,52,38268184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Luther,31,38268190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pewaukee,67,38268190,11,26,7,10,2,7,31,2,14,16,2,5,3,1,16,0
St. Croix Falls,47,38268193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somerset,57,38268193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Salem,44,38268196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elk Mound,35,38268196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrightstown,39,38268199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freedom,59,38268199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kewaskum,54,38268203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oostburg,49,38268203,17,35,11,25,3,7,54,8,26,34,16,18,9,7,15,0
Platteville,42,38268206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prairie du Chien,46,38268206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waupun,44,38268208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Mills,38,38268208,18,44,1,8,7,19,44,5,27,32,8,4,4,3,16,0
Milwaukee Academy of Science,54,38268219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican,39,38268219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,48,38268220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racine Lutheran,54,38268220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,67,38268225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillips,56,38268225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fall Creek,35,38268226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neillsville,60,38268226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Westfield,72,38268228,25,45,26,30,6,12,84,8,20,28,21,13,3,5,17,0
St. Mary Catholic,84,38268228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishicot,42,38268231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonduel,40,38268231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangor,39,38268234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquinas,64,38268234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba City,56,38268239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Glarus,50,38268239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnebago Lutheran,53,38268243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laconia,69,38268243,21,52,6,12,5,19,53,4,18,22,9,7,6,1,12,0
Siren,70,38268255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Shore,48,38268255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgar,38,38268262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assumption,36,38268262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barneveld,39,38268279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany,53,38268279,8,19,7,10,4,19,39,6,17,23,8,6,3,2,0,0
Oakfield,52,38268281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourdes Academy,47,38268281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
