Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Gresham Community,41,37683398,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
Oneida Nation,43,37683398,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
Shullsburg,30,37552862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Ridge/Scales Mound (IL),57,37552862,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
Albany,57,36747222,9,34,5,12,0,7,23,6,21,27,6,33,7,1,11,0
Big Foot,23,36747222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxemburg-Casco,41,36749743,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
Denmark,33,36749743,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
Owen-Withee,41,37409221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellsworth,58,37409221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alma Center Lincoln,60,36747242,7,25,10,15,1,12,27,9,10,19,3,24,7,4,11,0
Eau Claire Immanuel Lutheran,27,36747242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colby,58,36748157,26,68,22,34,3,14,77,25,18,43,11,20,23,4,14,0
Athens,77,36748157,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
Florence,44,36748796,27,69,4,6,8,28,66,13,27,40,17,0,17,2,0,0
Wabeno/Laona,66,36748796,17,41,4,8,6,15,44,2,31,33,9,26,9,3,6,0
Howards Grove,40,36749215,14,47,6,12,3,24,37,8,15,23,9,15,9,3,0,0
St. Mary's Springs,37,36749215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prentice,23,36750942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgar,53,36750942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Lakes,19,36751837,4,0,15,27,11,0,56,0,0,30,12,0,20,0,0,0
Crandon,56,36751837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitewater,59,36752409,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
Monroe,41,36752409,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
Sparta,56,36751594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baraboo,58,36751594,20,53,8,13,8,14,56,9,23,32,14,23,7,0,18,0
Barneveld,41,37294094,6,15,2,9,2,21,20,8,13,21,5,0,13,1,0,0
River Ridge,20,37294094,10,0,5,11,3,0,41,0,0,0,0,0,0,0,0,0
