Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Elkhorn,46,36748695,19,0,9,15,4,0,51,0,0,0,0,0,0,0,0,0
Badger,51,36748695,17,0,8,16,4,0,46,0,0,0,0,0,0,0,0,0
Nicolet,36,36750440,28,0,9,16,13,0,83,0,0,0,0,0,0,0,0,0
Whitefish Bay,78,36750440,14,0,6,13,2,0,36,0,0,0,0,0,0,0,0,0
Milwaukee Riverside,41,38100238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee School of Languages,73,38100238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Hamilton/Audubon,18,38100242,22,0,7,15,4,0,55,0,0,0,0,0,0,0,0,0
Milwaukee Reagan,55,38100242,7,0,1,6,3,0,18,0,0,0,0,0,0,0,0,0
Bruce,44,36747838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flambeau,39,36747838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Soto,17,36748323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ithaca,59,36748323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grantsburg,52,36748977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turtle Lake,55,36748977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unity,52,36751930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederic,25,36751930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appleton North,45,36747322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appleton East,57,36747322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Catholic,43,36748209,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
Loyal,45,36748209,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
Kickapoo,32,36749463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wauzeka-Steuben,49,36749463,12,0,5,12,3,0,32,0,0,0,0,0,0,0,0,0
Medford,46,36749973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northland Pines,41,36749973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altoona,53,36747271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somerset,45,36747271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashwaubenon,55,36747404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheboygan North,70,36747404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldwin-Woodville,49,36747474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prescott,44,36747474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barron,34,36747505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashland,41,36747505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookfield East,68,36747741,15,0,3,5,2,0,35,0,0,0,0,0,0,0,0,0
Menomonee Falls,35,36747741,27,0,5,6,9,0,68,0,0,0,0,0,0,0,0,0
Catholic Central,28,36748002,20,59,15,26,5,18,60,0,0,38,12,16,21,2,0,0
St. Thomas More,60,36748002,10,0,7,17,1,0,28,0,0,0,0,0,0,0,0,0
Chetek-Weyerhaeuser,45,36748070,21,71,8,13,9,36,61,19,23,42,18,16,20,8,18,0
Northwestern,61,36748070,19,49,6,13,1,7,45,8,24,32,10,23,9,3,16,0
Clinton,69,36748123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Foot,34,36748123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgerton,58,36748636,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
Jefferson,40,36748636,0,0,0,0,0,0,58,0,0,25,15,0,15,0,0,0
Fox Valley Lutheran,68,36748826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Chute,25,36748826,28,50,8,11,4,22,68,0,0,0,0,0,0,0,0,0
Franklin,68,36748835,16,55,7,9,7,28,46,8,13,21,10,18,12,0,20,0
Kenosha Indian Trail,46,36748835,23,0,20,26,2,0,68,0,0,0,0,0,0,0,12,0
Green Bay Preble,63,36749008,15,34,10,16,6,19,58,13,18,31,13,14,9,4,23,0
Bay Port,58,36749008,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
Green Bay Southwest,41,36749020,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
De Pere,53,36749020,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
Hayward,20,36749115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Croix Falls,53,36749115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenosha St. Joseph,19,36749389,26,48,9,13,7,15,82,12,14,26,17,9,25,4,15,0
