Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Arrowhead,80,36747375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgewood,54,36747375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown Deer,40,36747800,24,43,6,13,9,19,81,11,24,35,25,16,11,3,22,0
Dominican,81,36747800,14,39,7,23,5,17,40,3,12,15,5,10,12,0,14,0
West Allis Central,62,37326175,21,63,7,14,6,22,55,0,0,39,14,0,7,0,0,0
Waukesha North,55,37326175,23,59,9,18,7,20,62,8,27,35,9,15,11,4,11,0
Milwaukee Riverside,63,37552875,20,0,9,0,7,0,70,18,21,39,16,0,12,3,0,0
Milwaukee Golda Meir,70,37552875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee King,94,37553016,6,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0
Milwaukee Hamilton/Audubon,18,37553016,44,0,1,0,0,0,94,14,20,34,10,0,18,2,0,0
Milwaukee Vincent,12,37553930,32,77,6,8,2,17,72,10,13,23,10,9,30,4,5,0
Milwaukee Reagan,72,37553930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
