Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Kenosha Tremper,52,36749402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenosha Indian Trail,31,36749402,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
SWCHA,25,36751807,15,0,0,6,3,0,33,0,0,0,0,0,0,0,0,0
Saint Francis,35,36751807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedarburg,62,36748029,23,55,9,14,6,26,61,8,38,46,17,23,4,2,18,0
Grafton,61,36748029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Academy of Science,98,37335922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Madison,19,37335922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercer,33,36750059,19,40,8,15,8,21,70,10,9,19,14,0,22,2,0,0
South Shore,70,36750059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webster,38,36752227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grantsburg,61,36752227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter,59,36752489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Holcombe,68,36752489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appleton West,61,36747334,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0
Appleton East,73,36747334,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
Mellen,44,36749986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washburn,37,36749986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watertown,53,36752051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waunakee,44,36752051,18,45,14,25,3,14,53,5,23,28,8,0,12,1,0,0
Beaver Dam,49,36747539,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
DeForest,46,36747539,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
