Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Franklin,45,36748838,11,39,5,9,4,22,31,6,23,29,10,26,9,4,18,0
Oak Creek,31,36748838,13,0,17,22,4,0,45,0,0,0,0,0,0,0,13,0
Milwaukee Bay View,50,37553051,17,0,5,15,2,0,41,0,0,0,0,0,0,0,0,0
Milwaukee Madison,41,37553051,21,0,5,11,3,0,50,0,0,0,0,0,0,0,0,0
Cadott,65,36747931,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
Whitehall,32,36747931,25,64,9,17,6,29,65,15,32,47,14,20,15,5,12,0
Gibraltar,50,36748900,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Stockbridge,9,36748900,23,81,4,12,0,7,50,28,21,49,15,18,29,8,13,0
River Ridge,69,36751230,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
Seneca,17,36751230,17,30,11,17,8,34,69,19,23,42,21,0,15,1,0,0
Rosholt,60,36751283,7,30,0,0,3,8,17,2,9,11,7,31,5,1,7,0
Tigerton,17,36751283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waterloo,38,36752031,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
Fort Atkinson,59,36752031,12,58,10,17,4,23,38,11,30,41,11,9,12,3,13,0
Mosinee,58,36750233,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
Northland Pines,32,36750233,23,59,5,6,7,21,58,8,21,29,19,21,22,1,9,0
Fall Creek,40,36748750,0,0,0,0,0,0,37,15,25,40,8,0,0,0,0,0
Regis,37,36748750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homestead,73,36749173,28,62,17,20,10,24,83,10,22,32,16,13,13,5,0,0
Germantown,83,36749173,23,56,19,23,8,19,73,10,21,31,16,0,9,1,16,0
