Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Saint Anthony,27,36751644,27,0,0,0,2,0,60,19,31,50,10,0,17,2,9,0
University Lake School/Trinity Academy,60,36751644,4,0,1,6,6,0,27,0,0,35,9,0,8,3,6,0
Burlington,41,36747874,30,81,2,2,10,37,72,22,34,56,18,15,17,9,14,0
Union Grove,72,36747874,13,50,8,15,5,16,41,0,0,0,0,0,0,0,0,0
Catholic Memorial,43,36748008,31,0,13,17,8,0,83,0,0,9,9,0,12,0,0,0
Kettle Moraine,83,36748008,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
Rosholt,39,36751276,21,59,10,21,1,7,53,10,27,37,15,13,10,3,0,0
Iola-Scandinavia,53,36751276,22,50,4,7,3,9,39,10,22,32,7,13,9,0,16,0
Maranatha Baptist,9,37863857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oakhill Christian,55,37863857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birchwood,44,36747604,21,0,1,7,1,0,46,0,0,0,0,0,0,0,12,0
Bruce,46,36747604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clear Lake,56,36748110,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
Frederic,39,36748110,21,54,5,8,9,28,56,14,12,25,14,13,11,1,0,0
Lake Holcombe,21,36749591,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
New Auburn,63,36749591,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
Unity,32,36751931,0,0,0,0,0,0,57,0,0,35,16,0,11,9,0,0
Grantsburg,57,36751931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webster,41,36752232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siren,50,36752232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
