Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
St. Joan Antida//Tenor/Veritas,38,37420674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristo Rey Jesuit,29,37420674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio,69,36751202,8,36,6,8,3,9,31,8,19,27,6,36,12,2,21,0
Tri-County,31,36751202,24,58,18,25,3,12,68,16,18,34,17,17,29,6,12,0
Martin Luther,59,36749911,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
Catholic Central,35,36749911,18,52,18,32,5,21,59,9,17,26,11,11,19,0,8,0
Parkview,66,36750745,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
Milwaukee Carmen Northwest,22,36750745,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
Drummond,45,37626017,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
Webster,35,37626017,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
Green Bay NEW Lutheran/Providence Academy,60,36749004,6,34,2,5,0,4,14,9,20,29,2,0,8,4,8,0
Stockbridge,12,36749004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Academy of Science,75,36750105,17,66,6,9,6,28,46,13,28,41,7,0,12,2,7,0
Beloit Memorial,46,36750105,33,78,3,9,6,28,75,17,26,43,21,15,18,6,0,0
Saint Francis,46,36751671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University School,76,36751671,19,51,6,18,4,7,46,14,32,46,12,0,10,6,0,0
Viroqua,51,36751992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seneca,45,36751992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE Wis. Christian Home School,48,36832664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodman/Pembine,40,36832664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University Lake School/Trinity Academy,33,37296266,7,0,3,12,0,0,17,0,0,35,5,0,14,0,10,0
Saint Anthony,17,37296266,9,0,13,6,3,0,33,29,26,55,0,0,15,0,11,0
Brookfield East,59,36747736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divine Savior Holy Angels,21,36747736,22,60,4,8,10,30,58,14,26,40,17,0,17,5,0,0
Brookwood,35,36747764,16,42,12,16,3,12,47,8,15,23,11,19,17,6,0,0
Bangor,47,36747764,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
Cashton,38,36747993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wonewoc-Center,19,36747993,16,31,6,11,0,1,38,6,26,32,10,14,8,5,0,0
Elkhorn,44,36748696,16,51,12,21,8,30,53,12,23,35,13,9,8,2,0,0
Burlington,54,36748696,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Germantown,84,36748890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Allis Hale,49,36748890,33,67,4,10,14,42,84,12,19,31,24,12,19,5,0,0
Hayward,34,36749111,13,34,9,15,6,17,41,8,10,18,9,19,14,2,12,0
Ladysmith,41,36749111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luther,56,36749735,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
Gale-Ettrick-Trempealeau,28,36749735,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
Menasha,63,36750000,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
