Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Wabeno/Laona,62,36752000,6,32,15,22,0,4,27,6,24,30,5,30,8,3,23,0
Gibraltar,27,36752000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoughton,63,36751728,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
Milton,59,36751728,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
Trinity (IL),38,36833009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waukesha West,68,36833009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turner,49,36751900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williams Bay,30,36751900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cashton,42,36747987,16,0,13,22,2,0,47,0,0,0,0,0,0,0,0,0
Kickapoo,47,36747987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bend West,40,36752269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Pere,72,36752269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janesville Craig,103,36749298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison West,46,36749298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Memorial,20,36749796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verona,66,36749796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashland,38,36747393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osceola,73,36747393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican,80,36748469,8,9,6,13,5,5,37,0,0,0,0,0,0,0,8,0
Milwaukee Reagan,37,36748469,31,55,9,17,3,11,80,11,31,42,14,20,18,4,14,0
New Berlin Eisenhower,59,36750334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmot,22,36750334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manitowoc Lincoln,72,36749825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mukwonago,46,36749825,25,61,11,13,11,24,72,8,25,33,18,18,18,0,17,0
Amery,73,36747279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwestern,62,36747279,12,41,25,37,8,20,73,14,32,46,10,0,9,3,0,0
Brown Deer,71,36747814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racine Lutheran,58,36747814,24,54,12,18,11,25,71,9,20,29,14,6,17,1,8,0
New Glarus,76,36750351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brodhead,56,36750351,30,49,9,14,7,13,76,8,19,27,19,17,11,3,19,0
Washburn,21,36752014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siren,62,36752014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almond-Bancroft,60,36747255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson Creek,22,36747255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenosha Tremper,44,36749404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muskego,53,36749404,16,56,7,8,5,15,44,8,29,37,4,0,8,6,0,0
Dubuque Hempstead,53,36832485,22,47,15,23,3,14,62,4,21,25,12,9,9,0,0,0
Platteville,62,36832485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alma/Pepin,46,37124630,4,31,5,9,0,24,13,13,14,27,0,20,15,0,9,0
Wabasha-Kellogg,13,37124630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Lakes,48,36751846,13,49,12,20,2,13,40,17,27,44,11,0,11,6,0,0
Suring,40,36751846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appleton West,68,36747336,25,60,17,37,3,14,70,14,26,40,13,0,11,1,0,0
Coleman,70,36747336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hartford,70,36749095,19,44,14,23,7,17,59,6,18,24,8,8,7,1,22,0
Fond du Lac,59,36749095,19,0,23,28,9,0,70,0,0,0,0,0,0,0,0,0
Melrose-Mindoro,67,36749997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viroqua,42,36749997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viroqua,24,36751984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookwood,30,36751984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janesville Parker,39,36749308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison La Follette,57,36749308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,77,36750626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,29,36750626,31,70,9,13,6,27,77,23,13,36,24,10,25,1,11,0
Randolph,50,36751057,21,0,2,7,11,0,55,0,0,0,0,0,0,0,0,0
Laconia,55,36751057,19,40,4,9,8,19,50,6,19,27,9,17,10,3,10,0
Reedsburg,41,36751109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sauk Prairie,35,36751109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Prairie East,46,36751767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Prairie West,77,36751767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
