Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Chippewa Falls,42,38123259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appleton West,86,38123259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Crosse Logan,47,38123341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayward,58,38123341,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
Black River Falls,35,38123415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams-Friendship,47,38123415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luther,56,38123555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boscobel,38,38123555,20,50,10,19,6,14,56,14,22,36,9,0,12,3,0,0
Plum City/Elmwood,43,38123613,11,33,12,22,4,14,38,3,19,22,8,25,9,5,0,0
Clear Lake,38,38123613,13,49,14,20,3,16,43,13,22,35,7,18,12,2,19,0
Greenwood,26,38123679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hillsboro,59,38123679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparta,30,38123342,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
Tomah,44,38123342,12,48,4,9,2,12,30,16,22,38,11,18,4,1,12,0
Riverdale,44,38123560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melrose-Mindoro,57,38123560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washburn,36,38123606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mellen,67,38123606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flambeau,33,38123616,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
New Auburn,46,38123616,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
Loyal,41,38123667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wonewoc-Center,43,38123667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring Valley,40,38123539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augusta,67,38123539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medford,36,38123345,24,40,6,10,7,16,61,7,24,31,16,0,11,0,0,0
Rhinelander,59,38123345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wausau East,67,38123350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashland,48,38123350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barron,40,38123408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osceola,43,38123408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomer,39,38123413,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
Ellsworth,38,38123413,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
Richland Center,36,38123436,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
Brodhead,50,38123436,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
Cumberland,22,38123531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unity,57,38123531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer,36,38123537,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
Abbotsford,44,38123537,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
Princeton/Green Lake,28,38123541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Necedah,24,38123541,10,39,5,12,3,13,28,18,25,43,5,24,12,1,0,0
Weyauwega-Fremont,21,38123544,17,42,7,9,5,13,56,14,15,29,14,11,13,1,13,0
Stratford,56,38123544,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
Markesan,43,38123572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardeeville,58,38123572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornell,46,38123620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clayton,54,38123620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenwood City,25,38123623,35,67,6,11,7,17,83,12,29,41,29,9,28,0,14,0
McDonell Central,83,38123623,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
Prentice,43,38123627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almond-Bancroft,58,38123627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rib Lake,29,38123631,24,57,8,11,7,24,62,14,25,39,21,17,16,3,11,0
Athens,63,38123631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence,27,38123670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochrane-Fountain City,36,38123670,11,40,4,10,1,13,27,5,25,30,2,0,3,0,18,18
Black Hawk,28,38123682,9,40,16,30,3,11,37,7,22,29,6,13,7,1,11,0
Potosi/Cassville,37,38123682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weston,23,38123688,26,63,14,25,6,18,72,11,18,29,21,10,31,1,16,0
Shullsburg,72,38123688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oneida Nation,73,38123719,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0
Central Wisconsin Christian,76,38123719,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0
Stockbridge,14,38123722,28,0,4,10,4,0,64,0,0,0,0,0,0,0,12,0
Wild Rose,64,38123722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederic,34,38123601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solon Springs,54,38123601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheboygan Christian,71,38123726,8,34,3,4,1,6,22,5,10,0,2,19,3,0,9,0
Chesterton Academy,22,38123726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Riverside,32,38123263,26,74,10,16,12,35,74,17,29,46,20,10,22,3,22,0
Sheboygan South,74,38123263,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
Green Bay East,45,38123291,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0
Manitowoc Lincoln,81,38123291,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
West Allis Central,39,38123298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Allis Hale,73,38123298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison West,72,38123301,1,0,2,9,0,0,4,0,0,0,0,0,0,0,0,0
Milwaukee Bradley Tech/Arts,6,38123301,31,0,8,17,2,0,72,0,0,0,0,0,0,0,0,0
Waupaca,35,38123347,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
Antigo,72,38123347,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
Seymour,31,38123353,16,45,8,19,7,21,47,12,18,30,11,17,10,0,9,0
Plymouth,47,38123353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski,43,38123354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashwaubenon,53,38123354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Vincent,0,38123358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Washington,2,38123358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bend West,64,38123359,12,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0
West Bend East,85,38123359,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
Milton,41,38123373,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
Mount Horeb,61,38123373,16,41,5,12,4,16,41,0,0,0,0,0,0,0,0,0
Portage,29,38123375,29,68,4,5,8,29,70,18,20,38,0,0,0,0,0,0
Baraboo,70,38123375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Atkinson,73,38123386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmot,66,38123386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waukesha North,39,38123387,22,63,8,13,2,11,54,14,27,38,11,19,18,5,12,0
Westosha Central,54,38123387,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
Racine Park,31,38123389,22,63,13,20,9,27,66,13,29,42,16,15,12,5,15,0
Waterford,66,38123389,10,0,9,15,2,0,31,0,0,0,0,0,0,0,0,0
Milwaukee Lutheran,67,38123394,15,0,19,0,4,0,61,10,28,38,10,0,10,3,0,0
Milwaukee Golda Meir,61,38123394,23,0,18,34,3,0,67,21,27,48,8,14,21,1,24,0
South Milwaukee,42,38123396,27,0,7,14,8,0,69,0,0,0,0,0,0,0,0,0
Greendale,69,38123396,15,0,12,20,0,0,42,0,0,0,0,0,0,0,0,0
St. Croix Central,44,38123412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldwin-Woodville,37,38123412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Fond du Lac,45,38123422,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
Lomira,56,38123422,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
Two Rivers,35,38123426,20,58,19,26,0,9,59,15,21,36,11,5,15,3,9,0
Sheboygan Falls,59,38123426,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
River Valley,64,38123433,34,66,11,14,14,26,91,14,23,36,25,18,12,6,18,0
Dodgeville,91,38123433,21,61,17,26,7,23,64,14,18,32,11,18,10,1,14,0
Lodi,34,38123437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgewood,54,38123437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turner,32,38123438,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
Evansville,34,38123438,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
Watertown Luther Prep,56,38123445,26,59,13,19,7,20,71,15,20,35,13,8,10,2,0,0
Omro,72,38123445,23,51,3,4,7,13,56,7,22,29,10,15,7,2,16,0
Cristo Rey Jesuit,38,38123453,33,89,5,14,6,30,77,28,13,41,16,3,15,2,10,0
Brown Deer,77,38123453,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
Shoreland Lutheran,57,38123456,17,46,7,14,5,15,46,0,0,0,0,0,0,0,0,0
East Troy,46,38123456,23,0,9,17,2,0,57,0,0,0,0,0,0,0,0,0
Saint Anthony,25,38123461,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0
Jefferson,89,38123461,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
Big Foot,39,38123462,22,65,7,14,8,30,59,0,0,46,13,20,18,3,0,0
Racine St. Catherine's,59,38123462,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Whitewater,56,38123463,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
Clinton,53,38123463,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
Colby,43,38123538,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0
Regis,76,38123538,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
Montello,56,38123546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawa,81,38123546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crivitz,38,38123548,30,76,12,20,4,15,76,0,0,41,18,12,19,10,20,0
Oconto,76,38123548,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
Roncalli,28,38123550,23,58,2,8,5,13,53,13,20,33,21,20,25,2,0,0
Shiocton,53,38123550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa-Grant,41,38123557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fennimore,70,38123557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Heights,40,38123563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge,58,38123563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parkview,23,38123565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darlington,62,38123565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Holstein,64,38123576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manitowoc Lutheran,67,38123576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ozaukee,43,38123579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenosha St. Joseph,63,38123579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shell Lake,55,38123595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercer,41,38123595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butternut,54,38123610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter,60,38123610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,30,38123611,33,72,2,6,15,37,84,20,22,42,21,0,12,1,0,0
