Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Saint Anthony,27,37296310,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
Cristo Rey Jesuit,41,37296310,10,0,3,14,2,0,27,0,0,25,6,0,18,1,15,0
Tri-County,43,36751888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stockbridge,20,36751888,18,60,4,12,1,10,43,0,0,0,0,0,0,0,11,0
Milwaukee Lutheran,61,36750127,20,0,19,36,3,0,68,0,0,33,14,0,10,0,0,0
Milwaukee School of Languages,68,36750127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee North,35,37553582,0,0,0,0,0,0,31,10,25,35,3,0,7,4,0,0
Milw. Pulaski/Carmen South/Carmen Southeast/Juneau,31,37553582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grantsburg,61,36748979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webster,35,36748979,0,0,0,0,0,0,61,0,0,24,12,0,18,3,0,0
Mercer,38,36750058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solon Springs,73,36750058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Auburn,57,36750314,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
Birchwood,21,36750314,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
Prairie Farm,69,36750928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flambeau,27,36750928,26,64,13,18,4,20,69,18,16,34,14,10,19,1,11,0
Hurley,47,36749230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mellen,42,36749230,18,48,7,11,4,20,47,10,15,25,11,0,7,2,0,0
Northland Lutheran,41,36750470,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
Gresham Community,59,36750470,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
Lena,50,37981118,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
Crivitz,22,37981118,19,42,11,14,1,4,50,10,30,40,14,22,8,8,9,0
Adams-Friendship,58,36747214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nekoosa,16,36747214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amery,40,36747275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldwin-Woodville,32,36747275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcadia,33,36747370,19,46,11,17,4,12,61,8,19,27,16,8,10,3,6,0
Westby,61,36747370,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
Arrowhead,81,36747380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waukesha North,31,36747380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashland,33,36747388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ladysmith,44,36747388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barron,39,36747511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayward,38,36747511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belleville,50,36747556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodgeville,43,36747556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookfield Central,72,36747734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Allis Hale,34,36747734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catholic Memorial,40,36748016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waukesha West,84,36748016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Pere,41,36748309,17,36,7,10,4,17,53,12,16,28,10,11,8,4,13,0
Bay Port,53,36748309,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
Greenfield,40,36749066,21,40,4,7,8,21,54,9,7,16,11,11,15,4,9,0
Pius XI Catholic,54,36749066,16,0,7,12,1,0,40,0,0,0,0,0,0,0,0,0
Kenosha Tremper,83,36749407,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
Racine Horlick,33,36749407,12,0,3,5,0,0,83,0,0,0,0,0,0,0,0,0
Kewaunee,32,36749453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West De Pere,68,36749453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lomira,47,36749688,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
Kiel,58,36749688,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
Luther,46,36749738,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
West Salem,56,36749738,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
Nicolet,24,36750434,32,0,4,8,12,0,80,0,0,0,0,0,0,0,0,0
Homestead,80,36750434,9,0,6,13,0,0,24,0,0,0,0,0,0,0,0,0
Notre Dame,77,36750520,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
Pulaski,23,36750520,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0
Pewaukee,66,36750777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Berlin Eisenhower,37,36750777,24,57,9,11,9,29,66,16,32,48,13,0,16,0,0,0
Plymouth,54,36750853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roncalli,38,36750853,22,51,7,13,3,14,54,6,22,28,8,17,12,0,16,0
Racine Case,47,36750974,24,0,16,21,4,4,68,0,0,0,0,0,0,0,10,0
Franklin,68,36750974,19,0,1,6,8,0,47,0,0,0,0,0,0,0,0,0
Racine Park,51,36751019,27,74,7,12,11,36,72,19,20,39,18,16,17,9,12,0
Kenosha Indian Trail,72,36751019,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
Racine St. Catherine's,42,36751048,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
The Prairie School,46,36751048,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
St. Croix Central,28,36751305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osceola,40,36751305,10,44,7,15,1,9,28,7,21,28,5,10,3,4,10,0
Shoreland Lutheran,22,36751475,24,36,9,19,5,16,72,6,15,21,18,6,20,1,15,0
Dominican,72,36751475,3,3,4,8,4,4,22,0,0,0,0,0,0,0,5,0
Shorewood,74,36751495,13,0,3,9,7,0,36,0,0,0,0,0,0,0,0,0
South Milwaukee,36,36751495,29,0,11,17,5,0,74,0,0,0,0,0,0,0,0,0
St. Croix Falls,75,36751652,19,46,10,17,2,10,50,6,22,28,11,19,4,0,16,0
Chetek-Weyerhaeuser,50,36751652,26,60,8,12,5,18,75,21,21,42,19,7,15,2,17,0
Wautoma,39,36752178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Dells,48,36752178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Westfield,74,36752317,3,17,3,6,3,6,18,4,17,21,4,0,8,4,12,0
Mauston,18,36752317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitefish Bay,59,36752379,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0
Hartford,73,36752379,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
Whitewater,45,36752402,17,0,5,13,4,0,43,0,0,0,0,0,0,0,0,0
East Troy,43,36752402,17,0,9,9,2,0,45,0,0,0,0,0,0,0,0,0
Whitnall,75,36752411,30,54,9,20,3,9,72,11,14,25,13,7,18,2,19,0
Brown Deer,70,36752411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Carmen Northwest,22,37427308,36,0,2,3,4,0,78,0,0,0,0,0,0,0,0,0
Kenosha St. Joseph,78,37427308,9,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0
Abbotsford,53,36747193,32,64,11,16,4,8,79,16,23,40,27,20,13,2,0,0
Phillips,81,36747193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alma Center Lincoln,59,36747243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eleva-Strum,14,36747243,0,0,0,0,0,0,57,16,18,31,19,0,17,2,0,0
Amherst,52,36747297,16,36,0,3,7,18,39,0,0,10,10,0,5,0,0,0
Weyauwega-Fremont,39,36747297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augusta,51,36747453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alma/Pepin,42,36747453,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
Bloomer,48,36747649,0,0,0,0,0,0,62,12,38,50,5,0,0,0,0,0
Regis,63,36747649,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
Boyceville,31,36747694,12,60,4,6,4,29,32,10,26,36,8,10,4,2,0,0
Spring Valley,32,36747694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgewood,34,36748641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baraboo,37,36748641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elk Mound,66,36748678,14,45,6,15,0,15,34,6,24,30,9,23,6,0,14,14
Mondovi,34,36748678,24,70,11,19,7,29,66,19,23,40,17,13,13,1,12,0
Elkhart Lake-Glenbeulah,54,36748693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheboygan Christian,40,36748693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Atkinson,12,36748812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver Dam,58,36748812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederic,43,36748848,16,40,3,8,4,17,39,3,22,25,10,24,8,1,12,0
Luck,39,36748848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilman,69,36748915,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
Colby,59,36748915,27,43,9,20,2,8,69,13,28,41,19,0,13,5,0,0
Princeton/Green Lake,35,36749046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio,46,36749046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howards Grove,55,36749207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kohler,45,36749207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ithaca,42,36749292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weston,27,36749292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janesville Parker,44,36749314,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0
Sun Prairie East,68,36749314,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
La Crosse Central,42,36749509,17,38,6,6,7,14,47,8,14,22,10,0,4,3,0,0
River Falls,47,36749509,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
La Farge/Youth Initiative,62,36749528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Crawford,18,36749528,20,39,10,16,4,12,62,9,18,27,14,0,20,0,0,0
Lake Country Lutheran,69,36749571,27,57,10,15,7,17,71,0,0,0,0,0,0,0,0,0
Brookfield Academy,71,36749571,26,68,8,19,6,19,66,23,18,41,21,10,13,1,16,0
Madison La Follette,65,36749779,22,64,12,21,7,22,63,19,20,39,11,17,3,2,20,0
Madison East,63,36749779,23,59,11,19,8,18,65,11,20,31,7,7,7,3,18,0
Madison Memorial,75,36749787,13,61,17,26,5,23,48,15,24,40,3,0,10,3,16,0
Beloit Memorial,48,36749787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manitowoc Lutheran,71,36749837,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0
Ozaukee,67,36749837,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
Marion,27,36749866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
