Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Arrowhead,33,38311974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookfield East,53,38311974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakeland,60,38311981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menomonie,59,38311981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedarburg,58,38311983,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0
Notre Dame,88,38311983,22,61,11,20,5,24,60,14,13,27,13,19,13,2,27,0
McFarland,70,38311985,21,77,7,17,2,29,51,17,22,39,8,10,12,2,30,0
Union Grove,51,38311985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pius XI Catholic,59,38311986,23,42,17,17,12,25,75,0,0,0,0,0,0,0,0,0
Pewaukee,75,38311986,18,41,19,25,4,14,59,8,9,17,5,12,10,1,16,0
West Salem,55,38311988,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
Somerset,50,38311988,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
Waupun,50,38311991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prairie du Chien,40,38311991,19,43,9,23,3,16,50,11,23,34,11,5,8,5,16,0
Cuba City,63,38312000,28,71,4,4,7,25,67,8,22,30,21,7,12,2,0,0
Aquinas,67,38312000,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
The Prairie School,59,38312001,24,48,17,30,5,9,70,7,23,30,13,11,3,1,0,0
Laconia,71,38312001,22,61,7,7,8,23,59,10,19,29,12,12,5,2,19,9
Kimberly,67,38311972,34,68,17,22,9,28,94,14,21,35,18,8,11,3,0,0
Germantown,94,38311972,26,70,9,11,6,28,67,14,21,35,11,17,4,0,18,0
Edgar,43,38312004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wabeno/Laona,53,38312004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,59,38311979,27,0,18,23,14,0,87,0,0,14,10,0,5,5,0,0
Kettle Moraine,87,38311979,0,0,0,0,0,0,59,0,0,0,0,0,0,0,17,0
Kewaskum,48,38311989,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
Freedom,46,38311989,18,41,11,19,1,10,48,11,16,27,10,14,9,5,11,0
Oakfield,40,38312007,19,0,20,27,7,0,65,0,0,0,0,0,0,0,0,0
Albany,65,38312007,15,0,9,14,1,0,40,0,0,0,0,0,0,0,0,0
