Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Platteville,33,37401432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookfield East,57,37401432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palmyra-Eagle,19,36750725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University School,75,36750725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,72,37401437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Westosha Central,39,37401437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Foot,33,36747595,21,0,6,11,8,0,56,0,0,0,0,0,0,0,0,0
East Troy,56,36747595,12,39,7,20,2,10,33,7,34,41,7,39,12,5,14,0
Chilton,57,36748082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sturgeon Bay,38,36748082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,41,36748128,17,0,8,19,0,0,39,0,0,0,0,0,0,0,0,0
Jefferson,39,36748128,14,0,10,19,4,0,41,0,0,0,0,0,0,0,0,0
Evansville,57,36748724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgerton,53,36748724,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
Howards Grove,36,36749206,15,39,15,30,5,16,50,6,28,34,11,29,12,2,23,0
Kiel,50,36749206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Lutheran,43,36750132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waukesha South,48,36750132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oak Creek,36,36750523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowhead,59,36750523,12,37,10,18,2,14,36,4,19,23,7,20,5,4,15,0
Oconomowoc,43,36750551,31,71,7,15,12,33,81,14,20,34,22,14,19,0,16,26
