Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Waukesha South,47,33026441,16,32,6,12,11,20,60,11,31,42,16,0,8,3,0,0
Catholic Memorial,66,33026441,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
Waukesha South,30,33026442,29,62,11,12,9,26,78,16,21,37,23,0,15,3,0,0
Kettle Moraine,78,33026442,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
Waukesha South,26,33026444,22,8,7,11,4,6,55,0,0,0,0,0,0,0,0,0
Mukwonago,55,33026444,10,0,3,9,3,0,26,0,0,0,0,0,0,0,0,0
Waukesha South,46,33026446,18,46,10,17,5,11,51,13,23,36,12,0,8,5,0,0
Muskego,51,33026446,15,0,8,12,6,0,46,0,0,0,0,0,0,0,0,0
Waukesha South,39,33026448,27,70,4,10,8,29,66,0,0,0,0,0,0,0,0,0
Oconomowoc,66,33026448,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
Waukesha South,36,33026450,10,47,9,22,5,26,34,18,35,53,5,28,6,0,15,0
Waukesha North,34,33026450,15,0,4,17,2,0,36,0,0,0,0,0,0,0,0,0
Waukesha South,39,33026451,27,0,8,11,10,0,72,0,0,0,0,0,0,0,0,0
Waukesha West,72,33026451,13,0,8,13,5,0,39,0,0,0,0,0,0,0,0,0
Waukesha South,46,33026453,13,59,4,9,2,2,36,11,18,29,11,0,11,1,0,0
West Allis Hale,36,33026453,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
Waukesha West,40,33026455,13,0,4,12,3,0,33,0,0,0,0,0,0,0,0,0
Arrowhead,44,33026455,16,0,3,3,3,17,36,0,0,6,0,0,0,0,0,0
Waukesha West,67,33026456,10,23,24,31,8,27,68,10,22,32,11,0,11,4,0,0
Catholic Memorial,68,33026456,0,0,0,0,4,21,67,0,0,0,0,0,0,0,0,0
Waukesha West,50,33026458,17,49,5,9,4,18,43,6,16,22,9,0,8,0,0,0
Kettle Moraine,43,33026458,17,0,11,17,5,0,50,0,0,0,0,0,0,0,0,0
Waukesha West,69,33026460,11,8,20,27,2,5,44,0,0,0,0,0,0,0,0,0
Mukwonago,44,33026460,28,0,5,7,8,18,69,0,0,0,0,0,0,0,0,0
Waukesha West,63,33026462,10,30,12,21,2,10,34,9,12,21,6,0,7,0,0,0
Muskego,34,33026462,24,0,8,17,7,0,63,0,0,0,0,0,0,0,0,0
Waukesha West,69,33026464,17,0,12,16,6,0,52,0,0,0,0,0,0,0,0,0
Oconomowoc,52,33026464,26,0,12,18,6,0,69,0,0,0,0,0,0,0,0,0
Waukesha West,70,33026466,9,32,6,16,4,13,28,4,19,23,4,25,7,4,9,0
Waukesha North,30,33026466,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0
Waukesha West,51,33026468,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
Waukesha South,17,33026468,18,0,9,17,6,15,51,0,0,0,0,0,0,0,0,0
Waunakee,45,33026470,0,0,0,0,6,18,53,0,0,32,18,0,0,0,0,0
Beaver Dam,53,33026470,13,41,5,14,4,12,45,6,13,19,7,6,6,0,0,0
Waunakee,69,33026472,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
DeForest,54,33026472,21,25,12,17,5,25,69,8,18,26,18,13,10,2,0,0
Waunakee,69,33026474,3,9,4,8,0,1,52,0,0,0,1,0,1,0,0,0
Milton,52,33026474,24,50,10,20,3,13,69,6,17,23,7,12,17,4,0,0
Waunakee,61,33026475,16,52,13,17,7,29,52,8,22,30,9,15,5,2,17,0
Monona Grove,52,33026475,15,25,7,19,8,26,61,8,23,31,18,14,6,3,0,0
Waunakee,46,33026477,19,38,13,21,2,10,53,6,21,27,12,16,7,3,0,0
New Berlin West,53,33026477,9,25,7,8,7,53,46,10,15,25,11,13,6,2,0,0
Waunakee,63,33026479,4,29,1,2,0,12,9,8,11,19,1,32,7,1,0,0
Portage,9,33026479,23,46,5,10,4,17,63,23,10,33,13,12,22,1,0,0
Waunakee,48,33026481,0,0,0,0,3,7,70,0,0,0,0,0,0,0,0,0
Reedsburg,70,33026481,17,56,10,14,4,17,48,10,17,27,7,15,6,1,0,0
Waunakee,44,33026482,12,32,7,14,5,13,36,5,18,23,4,0,6,4,0,0
Watertown,36,33026482,12,35,8,16,4,21,44,18,15,33,12,14,10,2,0,0
Waupaca,29,33026484,15,59,8,11,6,32,44,12,15,27,9,14,22,4,0,0
Berlin,44,33026484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waupaca,20,33026486,21,46,5,8,8,18,55,7,11,18,15,13,19,2,7,0
Clintonville,55,33026486,7,33,4,6,0,0,20,13,14,27,3,27,6,1,6,0
Waupaca,26,33026487,8,36,19,27,3,13,44,10,27,37,5,16,15,0,22,0
