Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Monticello,42,33024437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barneveld,55,33024437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monticello,29,33024438,14,77,9,19,3,20,40,25,25,50,7,11,16,2,11,0
Benton,40,33024438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monticello,26,33024439,19,54,2,4,4,11,43,14,17,31,14,10,8,0,8,0
Black Hawk,43,33024439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monticello,41,33024441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juda,22,33024441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monticello,63,33024442,8,48,0,0,1,9,17,4,17,21,5,34,14,0,12,0
Madison Country Day,17,33024442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monticello,37,33024443,15,36,9,15,3,14,48,11,29,40,17,22,7,2,16,0
Pecatonica,48,33024443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosinee,53,33024444,19,40,7,12,4,8,49,8,21,29,14,0,0,0,0,0
Amherst,49,33024444,15,48,17,26,6,19,53,11,13,24,14,14,17,0,10,0
Mosinee,66,33024446,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
Antigo,31,33024446,26,76,8,15,6,23,66,27,23,47,17,11,20,3,16,0
Mosinee,49,33024448,14,50,4,8,2,10,30,12,23,34,9,0,13,6,0,0
Edgar,30,33024448,20,61,7,10,2,15,49,16,21,37,19,18,22,6,12,0
Mosinee,54,33024449,19,54,4,14,0,15,42,12,21,33,15,0,17,2,0,0
Lakeland,42,33024449,19,55,10,18,6,21,54,18,26,44,15,22,12,1,13,0
Mosinee,56,33024450,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
Medford,47,33024450,23,60,7,18,3,16,56,15,21,36,19,20,21,2,10,0
Mosinee,54,33024451,15,56,7,11,6,25,43,11,22,33,10,12,7,2,19,0
New London,43,33024451,19,48,12,21,4,15,54,8,28,36,15,11,9,0,12,0
Mosinee,76,33024452,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
Northland Pines,26,33024452,31,72,7,15,7,23,76,22,15,37,22,13,32,1,9,0
Mosinee,67,33024453,19,48,8,13,2,10,48,10,19,29,8,0,16,0,0,0
Rhinelander,48,33024453,28,67,11,16,0,14,67,19,21,40,22,22,29,2,13,0
Mosinee,72,33024454,12,34,0,2,4,11,28,0,0,23,10,0,5,6,14,0
Shawano,28,33024454,30,64,6,13,6,16,72,14,15,29,19,13,26,0,7,0
Mosinee,66,33024455,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
Tomahawk,19,33024455,27,66,6,10,6,24,66,19,25,44,20,13,19,0,14,0
Mount Horeb,55,33024456,16,60,6,16,11,34,49,14,18,32,11,25,9,0,26,0
Baraboo,48,33024456,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
Mount Horeb,54,33024457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodgeville,60,33024457,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
Mount Horeb,44,33024458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgewood,60,33024458,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
Mount Horeb,38,33024459,0,0,0,0,0,1,25,0,0,18,2,0,0,0,0,0
Fort Atkinson,34,33024459,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
Mount Horeb,55,33024462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,32,33024462,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
Mount Horeb,53,33024463,19,54,18,26,4,20,60,17,27,44,14,13,5,2,21,0
Oregon,60,33024463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Horeb,42,33024465,18,45,21,30,4,12,61,8,24,32,13,11,13,1,0,0
Platteville,61,33024465,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
Mount Horeb,33,33024466,10,0,13,20,4,0,45,0,0,0,0,0,0,0,0,0
Sauk Prairie,45,33024466,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
Mount Horeb,48,33024467,17,43,24,32,1,6,59,7,22,29,7,14,5,0,0,0
Stoughton,59,33024467,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
Mount Horeb,53,33024468,6,34,16,31,3,9,31,5,24,29,6,27,4,2,16,0
Wisconsin Heights,31,33024468,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
Mukwonago,40,33024469,19,0,6,7,4,0,48,0,0,0,0,0,0,0,0,0
Arrowhead,56,33024469,13,6,8,10,6,4,40,0,0,0,0,0,0,0,0,0
Mukwonago,59,33024470,12,51,8,14,2,14,34,10,21,29,7,17,3,1,0,1
Badger,34,33024470,20,6,9,17,10,6,59,0,0,0,0,0,0,0,0,0
Mukwonago,71,33024471,13,33,19,27,6,23,63,14,19,29,10,0,9,5,0,0
Catholic Memorial,63,33024471,20,9,24,36,7,7,71,0,0,0,0,0,0,0,0,0
Mukwonago,38,33024472,35,73,4,6,10,29,84,18,26,44,20,0,7,3,0,0
Kettle Moraine,84,33024472,12,0,8,10,6,0,38,0,0,0,0,0,0,0,0,0
Mukwonago,41,33024473,16,54,16,23,2,14,50,16,24,40,10,0,4,4,0,0
Muskego,50,33024473,13,0,8,14,7,7,41,0,0,0,0,0,0,0,0,0
Mukwonago,47,33024474,27,0,4,8,5,0,63,0,0,0,0,0,0,0,0,0
Oconomowoc,63,33024474,13,13,16,20,5,7,47,0,0,0,0,0,0,0,0,0
Mukwonago,83,33024475,22,51,15,25,6,15,65,15,19,34,13,10,1,0,0,0
Stoughton,65,33024475,23,14,26,36,11,10,83,0,0,0,0,0,0,0,0,0
Mukwonago,34,33024477,18,50,9,18,3,11,48,9,18,27,10,0,18,0,0,0
Watertown,48,33024477,11,0,7,16,5,0,34,0,0,0,0,0,0,0,0,0
Mukwonago,57,33024478,12,53,10,16,4,16,38,7,26,33,5,16,7,1,13,0
Waukesha North,38,33024478,19,9,12,19,7,8,57,0,0,0,0,0,0,0,0,0
Mukwonago,67,33024479,14,0,5,9,5,0,38,0,0,0,0,0,0,0,0,0
Waukesha South,41,33024479,28,14,2,6,9,8,67,0,0,0,0,0,0,0,0,0
Mukwonago,34,33024480,30,0,8,12,8,0,76,0,0,0,0,0,0,0,0,0
Waukesha West,76,33024480,9,3,14,29,2,2,34,0,0,0,0,0,0,0,0,0
Muskego,37,33024481,21,0,10,14,7,0,59,0,0,0,0,0,0,0,0,0
Arrowhead,59,33024481,12,44,9,17,4,12,37,9,18,27,7,0,2,1,0,0
Muskego,54,33024482,16,30,21,29,3,23,62,15,24,39,7,0,13,2,0,0
Catholic Memorial,67,33024482,24,67,3,9,3,15,54,18,23,41,9,0,1,1,0,0
Muskego,47,33024483,13,0,5,10,1,5,32,5,20,25,4,0,14,1,0,0
Kenosha Tremper,32,33024483,17,58,7,9,6,27,47,14,21,35,13,0,6,3,0,0
Muskego,28,33024485,21,56,11,17,6,23,59,10,26,36,16,0,9,2,0,0
Kettle Moraine,59,33024485,7,36,7,13,3,10,28,5,15,20,7,0,7,0,0,0
Muskego,47,33024486,17,4,17,23,6,1,57,0,0,0,0,0,0,0,0,0
Mukwonago,57,33024486,19,60,6,15,3,22,47,15,19,32,10,0,8,3,0,0
Muskego,49,33024488,21,0,9,16,4,14,59,0,0,0,0,0,0,0,0,0
Oconomowoc,59,33024488,15,47,15,29,4,18,49,11,16,27,3,0,9,0,0,0
Muskego,60,33024490,15,47,9,11,5,24,44,3,24,27,9,21,10,2,15,0
Waukesha North,44,33024490,22,65,8,12,8,26,60,20,23,43,15,0,10,3,0,0
Muskego,48,33024492,8,0,0,6,3,0,19,0,0,0,0,0,0,0,0,0
Waukesha South,19,33024492,19,61,2,2,8,25,48,17,17,32,13,0,10,3,0,0
Muskego,35,33024494,0,0,0,0,7,17,56,0,0,0,0,0,0,0,0,0
Waukesha West,56,33024494,13,39,5,8,4,13,35,3,17,20,8,0,5,1,0,0
Muskego,70,33024495,16,51,8,19,1,1,43,13,18,31,10,0,7,4,0,0
West Allis Hale,43,33024495,27,63,5,11,11,25,70,15,18,33,19,0,0,0,0,0
Necedah,23,33024498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookwood,44,33024498,8,26,5,23,2,7,23,6,17,23,5,0,3,0,0,0
Necedah,24,33024501,25,73,14,25,1,15,65,29,21,50,9,26,19,1,0,0
Cashton,65,33024501,9,31,2,11,4,8,24,5,17,22,3,0,8,2,0,0
Necedah,14,33024502,29,62,3,6,5,13,66,13,24,37,23,13,15,7,13,0
Hillsboro,66,33024502,3,35,7,13,1,8,14,3,21,24,3,0,7,3,0,0
Necedah,31,33024503,23,74,5,11,3,13,54,24,27,51,10,19,21,1,14,0
New Lisbon,54,33024503,10,45,7,10,4,15,31,9,24,33,6,0,9,4,0,0
Necedah,19,33024504,26,59,7,11,5,9,64,22,20,42,17,0,18,3,15,0
Royall,64,33024504,5,35,7,16,2,11,20,8,9,17,3,0,7,3,0,0
Neenah,42,33024505,23,53,8,15,9,30,63,11,33,44,14,0,4,4,0,0
Appleton East,63,33024505,14,61,9,19,5,20,42,13,19,32,11,12,6,1,15,0
Neenah,60,33024506,19,42,13,16,2,13,53,8,15,23,13,16,5,0,24,0
Appleton North,53,33024506,19,43,17,25,5,16,60,11,15,26,13,15,9,1,15,0
