Player_ID,Game_ID,Spot_ID,Spot_FGA,Spot_FGM
1,1,1,1,0
1,1,2,1,0
1,1,3,0,0
1,1,4,1,1
1,1,5,0,0
1,1,6,1,0
1,1,7,0,0
1,1,8,0,0
1,1,9,0,0
1,1,10,0,0
1,1,11,10,6
3,1,1,0,0
3,1,2,0,0
3,1,3,0,0
3,1,4,1,1
3,1,5,0,0
3,1,6,0,0
3,1,7,0,0
3,1,8,0,0
3,1,9,0,0
3,1,10,1,0
3,1,11,5,3
4,1,1,0,0
4,1,2,0,0
4,1,3,0,0
4,1,4,1,1
4,1,5,0,0
4,1,6,1,0
4,1,7,1,0
4,1,8,0,0
4,1,9,0,0
4,1,10,0,0
4,1,11,0,0
5,1,1,0,0
5,1,2,0,0
5,1,3,0,0
5,1,4,0,0
5,1,5,0,0
5,1,6,0,0
5,1,7,0,0
5,1,8,0,0
5,1,9,0,0
5,1,10,0,0
5,1,11,0,0
10,1,1,0,0
10,1,2,0,0
10,1,3,0,0
10,1,4,0,0
10,1,5,0,0
10,1,6,0,0
10,1,7,0,0
10,1,8,0,0
10,1,9,0,0
10,1,10,0,0
10,1,11,2,2
11,1,1,0,0
11,1,2,1,0
11,1,3,0,0
11,1,4,0,0
11,1,5,0,0
11,1,6,0,0
11,1,7,0,0
11,1,8,0,0
11,1,9,0,0
11,1,10,0,0
11,1,11,7,4
15,1,1,0,0
15,1,2,0,0
15,1,3,0,0
15,1,4,0,0
15,1,5,0,0
15,1,6,0,0
15,1,7,0,0
15,1,8,0,0
15,1,9,0,0
15,1,10,0,0
15,1,11,0,0
20,1,1,0,0
20,1,2,1,1
20,1,3,1,0
20,1,4,0,0
20,1,5,0,0
20,1,6,0,0
20,1,7,0,0
20,1,8,0,0
20,1,9,0,0
20,1,10,0,0
20,1,11,1,0
24,1,1,0,0
24,1,2,1,1
24,1,3,0,0
24,1,4,1,1
24,1,5,0,0
24,1,6,0,0
24,1,7,0,0
24,1,8,0,0
24,1,9,0,0
24,1,10,0,0
24,1,11,8,3
25,1,1,0,0
25,1,2,0,0
25,1,3,0,0
25,1,4,0,0
25,1,5,0,0
25,1,6,0,0
25,1,7,0,0
25,1,8,0,0
25,1,9,0,0
25,1,10,0,0
25,1,11,0,0
13,1,1,0,0
13,1,2,0,0
13,1,3,0,0
13,1,4,0,0
13,1,5,0,0
13,1,6,0,0
13,1,7,0,0
13,1,8,0,0
13,1,9,0,0
13,1,10,0,0
13,1,11,0,0
3,2,1,0,0
3,2,2,0,0
3,2,3,1,0
3,2,4,1,0
3,2,5,0,0
3,2,6,0,0
3,2,7,0,0
3,2,8,0,0
3,2,9,0,0
3,2,10,0,0
3,2,11,9,4
4,2,1,0,0
4,2,2,0,0
4,2,3,0,0
4,2,4,0,0
4,2,5,0,0
4,2,6,0,0
4,2,7,0,0
4,2,8,0,0
4,2,9,0,0
4,2,10,0,0
4,2,11,0,0
5,2,1,0,0
5,2,2,0,0
5,2,3,1,0
5,2,4,0,0
5,2,5,0,0
5,2,6,0,0
5,2,7,0,0
5,2,8,0,0
5,2,9,0,0
5,2,10,0,0
5,2,11,0,0
10,2,1,1,0
10,2,2,0,0
10,2,3,0,0
10,2,4,1,0
10,2,5,0,0
10,2,6,0,0
10,2,7,0,0
10,2,8,0,0
10,2,9,0,0
10,2,10,0,0
10,2,11,3,2
11,2,1,0,0
11,2,2,0,0
11,2,3,0,0
11,2,4,2,1
11,2,5,0,0
11,2,6,0,0
11,2,7,1,1
11,2,8,0,0
11,2,9,0,0
11,2,10,0,0
11,2,11,6,4
15,2,1,0,0
15,2,2,0,0
15,2,3,0,0
15,2,4,0,0
15,2,5,0,0
15,2,6,0,0
15,2,7,0,0
15,2,8,0,0
15,2,9,0,0
15,2,10,0,0
15,2,11,0,0
