Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Montello,21,33024431,28,60,6,10,9,22,71,11,27,38,19,7,10,1,11,0
Rio,71,33024431,9,48,2,6,1,9,21,13,19,34,5,23,4,3,0,0
Montello,65,33024433,12,57,7,15,3,16,40,22,25,46,0,16,8,13,16,0
Tri-County,40,33024433,25,66,9,21,4,8,65,14,33,47,15,13,8,3,0,0
Montello,42,33024434,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0
Wautoma,82,33024434,15,36,10,18,2,10,42,7,17,24,9,34,5,4,0,0
Monticello,25,33024435,26,56,3,10,3,16,58,0,0,29,28,11,15,0,0,0
Albany,58,33024435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monticello,55,33024436,30,81,11,15,10,27,75,25,25,50,14,6,5,6,0,0
Argyle,80,33024436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monticello,42,33024437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barneveld,55,33024437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
