Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Winneconne,50,33026938,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
Wautoma,42,33026938,19,59,11,28,1,18,50,18,33,51,6,25,8,5,20,0
Winter,52,33026940,18,54,12,19,1,18,51,9,22,31,8,20,14,0,0,0
Bruce,51,33026940,24,69,4,11,0,4,52,14,28,42,4,24,10,3,21,0
Winter,31,33026941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clayton,52,33026941,13,51,3,6,2,12,31,7,13,20,1,0,11,3,0,0
Winter,36,33026942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornell,52,33026942,14,65,5,15,3,14,36,14,27,41,0,22,8,7,13,0
Winter,14,33026943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drummond,61,33026943,4,37,5,11,1,6,14,8,8,16,0,24,10,3,19,0
Winter,55,33026944,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
Flambeau,71,33026944,19,55,11,20,6,13,55,11,28,39,5,21,8,4,17,0
Winter,44,33026945,32,83,4,11,4,25,72,24,22,46,12,23,20,6,14,0
Lake Holcombe,72,33026945,18,59,8,11,0,6,44,7,15,22,2,16,9,1,12,0
Winter,64,33026947,11,38,0,11,1,14,23,8,17,25,8,42,16,3,6,0
Mercer,23,33026947,28,76,3,4,5,17,64,13,18,31,14,18,27,2,0,0
Winter,28,33026948,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
New Auburn,52,33026948,10,50,8,16,3,14,28,7,15,22,2,16,9,1,12,0
Winter,29,33026949,36,56,11,21,4,19,73,20,19,39,15,13,29,1,14,0
Prairie Farm,73,33026949,10,38,6,10,3,12,29,5,21,25,3,42,6,6,16,0
Winter,59,33026950,20,65,8,16,3,16,51,14,26,40,11,21,7,1,0,0
Prentice,51,33026950,23,59,10,17,3,15,59,4,26,30,5,12,14,3,17,0
Wisconsin Dells,32,33026952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams-Friendship,15,33026952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Dells,53,33026953,12,52,1,4,2,19,27,6,15,21,8,15,7,1,12,0
Baraboo,27,33026953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Dells,46,33026954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodgeville,42,33026954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Dells,50,33026956,16,51,8,14,4,23,44,7,25,32,10,25,15,2,21,0
Lodi,44,33026956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Dells,80,33026958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauston,28,33026958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Dells,63,33026959,11,36,1,3,3,18,26,4,20,24,0,0,0,0,0,0
Nekoosa,26,33026959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Dells,35,33026960,0,0,0,0,2,8,65,0,0,0,0,0,0,0,0,0
Reedsburg,65,33026960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Dells,44,33026961,22,0,11,17,2,0,61,0,0,0,0,0,0,0,0,0
Sauk Prairie,61,33026961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Dells,49,33026962,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
Wautoma,35,33026962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Dells,45,33026963,16,34,7,9,4,16,51,0,0,17,12,0,8,0,0,0
Westfield,51,33026963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Heights,32,33026964,21,62,18,26,1,11,61,25,20,45,15,0,13,5,0,0
Belleville,61,33026964,11,46,10,22,0,11,32,11,20,31,8,21,5,2,21,0
Wisconsin Heights,37,33026965,16,46,13,32,3,16,48,13,23,36,10,8,11,0,12,0
Cambridge,48,33026965,13,45,5,8,6,19,37,5,24,29,8,14,2,1,25,0
Wisconsin Heights,37,33026966,25,63,15,24,7,21,72,19,16,35,14,15,29,1,14,0
Lancaster,72,33026966,13,38,6,12,5,14,37,10,18,28,11,36,3,1,21,0
Wisconsin Heights,33,33026967,17,52,2,7,4,20,40,13,31,44,13,20,13,8,16,0
Lodi,40,33026967,12,50,4,14,5,18,33,12,20,32,8,19,6,0,10,0
Wisconsin Heights,44,33026968,18,49,11,19,8,24,55,8,22,30,16,0,13,3,17,0
Marshall,55,33026968,17,51,6,12,4,19,44,9,25,34,9,23,2,1,23,0
Wisconsin Heights,32,33026969,20,63,12,16,7,24,59,10,27,37,17,19,26,1,16,0
Mineral Point,59,33026969,14,45,0,12,4,15,35,8,27,33,12,36,15,2,15,0
Wisconsin Heights,39,33026970,19,54,11,16,3,7,52,10,16,26,12,14,17,1,0,0
New Glarus,52,33026970,16,40,5,8,2,12,39,6,21,27,10,26,5,1,15,0
Wisconsin Heights,29,33026971,13,28,8,10,0,6,56,0,0,33,13,0,16,7,0,0
Pardeeville,56,33026971,8,49,8,20,5,21,29,16,18,34,5,24,11,0,10,0
Wisconsin Heights,45,33026972,13,41,4,6,7,17,37,4,25,29,8,13,3,0,13,0
