Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Southern Door,68,33025938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sturgeon Bay,24,33025938,27,58,12,19,4,8,70,13,27,40,20,17,12,1,12,0
Southwestern,22,33025939,24,71,14,25,5,22,67,24,24,48,12,15,20,6,0,0
Belmont,67,33025939,8,47,4,12,2,18,22,11,18,29,1,35,9,4,0,0
Southwestern,49,33025940,30,66,4,12,3,10,67,10,28,38,24,35,22,0,22,0
Benton,67,33025940,17,37,9,21,2,13,49,8,23,31,5,34,18,0,0,0
Southwestern,49,33025941,24,68,11,21,5,30,64,21,23,44,12,16,13,7,0,0
Boscobel,64,33025941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southwestern,48,33025942,30,67,16,23,4,26,80,16,20,36,20,24,22,6,21,0
Cuba City,80,33025942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southwestern,39,33025943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darlington,53,33025943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southwestern,37,33025944,20,50,7,11,6,15,53,11,23,34,12,23,17,3,0,0
Fennimore,53,33025944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southwestern,47,33025945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa-Grant,55,33025945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southwestern,19,33025946,25,64,11,21,9,33,70,21,20,41,17,23,21,3,19,0
Mineral Point,70,33025946,6,29,7,22,0,2,18,7,16,23,1,42,13,0,0,0
Southwestern,25,33025947,11,28,3,4,7,32,46,13,17,29,12,0,22,0,0,0
River Ridge,46,33025947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparta,38,33025949,27,71,7,10,8,29,69,7,28,35,11,10,26,5,0,0
Aquinas,69,33025949,15,53,1,4,7,17,38,5,34,39,12,27,3,1,8,0
Sparta,59,33025951,13,44,12,19,1,7,39,9,24,33,7,25,6,1,0,0
Cashton,39,33025951,25,61,4,12,5,20,59,12,21,33,18,18,11,2,14,0
Sparta,40,33025952,22,62,9,10,6,21,59,13,23,36,9,0,17,5,0,0
